        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.31000000e+02,        +1.414213562373e-01,        +1.416789963235e-01,        +1.191083230163e-02,        +2.612264885488e-02,        -9.196272777034e-02,        +2.613343247051e-02,        -9.199549768903e-02,        +1.414213562373e-01,        +2.612264885489e-02,        -9.196272777034e-02,        +2.098608150330e-01,        +1.392363700958e-02,        -5.685815438635e-02,        -3.019546041028e-02,        +1.414213562373e-01,        +2.613343247052e-02,        -9.199549768902e-02,        -5.685815438635e-02,        -3.019546041027e-02,        +2.098035029642e-01,        +1.388064348778e-02
 1.32000000e+02,        +1.414213562373e-01,        +1.419150370932e-01,        +1.149953578564e-02,        +2.517466039110e-02,        -9.224745302094e-02,        +2.518473165970e-02,        -9.228047793668e-02,        +1.414213562373e-01,        +2.517466039110e-02,        -9.224745302093e-02,        +2.100608962607e-01,        +1.318966550450e-02,        -5.732039442039e-02,        -2.915299233610e-02,        +1.414213562373e-01,        +2.518473165971e-02,        -9.228047793668e-02,        -5.732039442039e-02,        -2.915299233610e-02,        +2.100030026589e-01,        +1.314698899787e-02
 1.33000000e+02,        +1.414213562373e-01,        +1.421428012140e-01,        +1.108318330835e-02,        +2.422279728209e-02,        -9.252181712267e-02,        +2.423214732316e-02,        -9.255507898930e-02,        +1.414213562373e-01,        +2.422279728209e-02,        -9.252181712268e-02,        +2.102504042307e-01,        +1.245555456748e-02,        -5.776548317933e-02,        -2.810501006718e-02,        +1.414213562373e-01,        +2.423214732316e-02,        -9.255507898930e-02,        -5.776548317933e-02,        -2.810501006718e-02,        +2.101919382673e-01,        +1.241320360702e-02
 1.34000000e+02,        +1.414213562373e-01,        +1.423621753343e-01,        +1.066194055324e-02,        +2.326718893364e-02,        -9.278574597201e-02,        +2.327580927505e-02,        -9.281922645058e-02,        +1.414213562373e-01,        +2.326718893364e-02,        -9.278574597201e-02,        +2.104294372788e-01,        +1.172137370578e-02,        -5.819339972184e-02,        -2.705171655345e-02,        +1.414213562373e-01,        +2.327580927505e-02,        -9.281922645059e-02,        -5.819339972184e-02,        -2.705171655345e-02,        +2.103704082917e-01,        +1.167935646730e-02
 1.35000000e+02,        +1.414213562373e-01,        +1.425730495387e-01,        +1.023597605569e-02,        +2.230796666401e-02,        -9.303916752573e-02,        +2.231584924753e-02,        -9.307284799040e-02,        +1.414213562373e-01,        +2.230796666401e-02,        -9.303916752572e-02,        +2.105980903260e-01,        +1.098718802566e-02,        -5.860412247478e-02,        -2.599331328068e-02,        +1.414213562373e-01,        +2.231584924754e-02,        -9.307284799040e-02,        -5.860412247478e-02,        -2.599331328069e-02,        +2.105385078074e-01,        +1.094551232204e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.427753174321e-01,        +9.805461126562e-03,        +2.134526366031e-02,        -9.328201185991e-02,        +2.135240084712e-02,        -9.331587340358e-02,        +1.414213562373e-01,        +2.134526366031e-02,        -9.328201185991e-02,        +2.107564547383e-01,        +1.025305840052e-02,        -5.899762917570e-02,        -2.493000037783e-02,        +1.414213562373e-01,        +2.135240084712e-02,        -9.331587340358e-02,        -5.899762917570e-02,        -2.493000037783e-02,        +2.106963283219e-01,        +1.021173167404e-02
 1.37000000e+02,        +1.414213562373e-01,        +1.429688762225e-01,        +9.370569772786e-03,        +2.037921493289e-02,        -9.351421122785e-02,        +2.038559950901e-02,        -9.354823466755e-02,        +1.414213562373e-01,        +2.037921493289e-02,        -9.351421122785e-02,        +2.109046181860e-01,        +9.519041640600e-03,        -5.937389681474e-02,        -2.386197672312e-02,        +1.414213562373e-01,        +2.038559950900e-02,        -9.354823466755e-02,        -5.937389681474e-02,        -2.386197672312e-02,        +2.108439576339e-01,        +9.478070955244e-03
 1.38000000e+02,        +1.414213562373e-01,        +1.431536268010e-01,        +8.931478615155e-03,        +1.940995726767e-02,        -9.373570011671e-02,        +1.941558244946e-02,        -9.376986599881e-02,        +1.414213562373e-01,        +1.940995726767e-02,        -9.373570011671e-02,        +2.110426645052e-01,        +8.785190664273e-03,        -5.973290157525e-02,        -2.278944004918e-02,        +1.414213562373e-01,        +1.941558244946e-02,        -9.376986599881e-02,        -5.973290157525e-02,        -2.278944004918e-02,        +2.109814796943e-01,        +8.744582698107e-03
 1.39000000e+02,        +1.414213562373e-01,        +1.433294738204e-01,        +8.488366803273e-03,        +1.843762917656e-02,        -9.394641530295e-02,        +1.844248861618e-02,        -9.398070390806e-02,        +1.414213562373e-01,        +1.843762917656e-02,        -9.394641530295e-02,        +2.111706735574e-01,        +8.051554671609e-03,        -6.007461877280e-02,        -2.171258704754e-02,        +1.414213562373e-01,        +1.844248861618e-02,        -9.398070390806e-02,        -6.007461877280e-02,        -2.171258704754e-02,        +2.111089744654e-01,        +8.011315709185e-03
 1.40000000e+02,        +1.414213562373e-01,        +1.434963257712e-01,        +8.041415927775e-03,        +1.746237084585e-02,        -9.414629590646e-02,        +1.746645863681e-02,        -9.418068725403e-02,        +1.414213562373e-01,        +1.746237084586e-02,        -9.414629590645e-02,        +2.112887210897e-01,        +7.318179320112e-03,        -6.039902279192e-02,        -2.063161347280e-02,        +1.414213562373e-01,        +1.746645863681e-02,        -9.418068725402e-02,        -6.039902279192e-02,        -2.063161347280e-02,        +2.112265177808e-01,        +7.278315244850e-03
