        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.31000000e+02,        +7.071067811865e+00,        +7.083949816174e+00,        +5.955416150815e-01,        +1.306132442744e+00,        -4.598136388517e+00,        +1.306671623526e+00,        -4.599774884451e+00,        +7.071067811865e+00,        +1.306132442744e+00,        -4.598136388517e+00,        +1.049304075165e+01,        +6.961818504791e-01,        -2.842907719318e+00,        -1.509773020514e+00,        +7.071067811865e+00,        +1.306671623526e+00,        -4.599774884451e+00,        -2.842907719318e+00,        -1.509773020514e+00,        +1.049017514821e+01,        +6.940321743890e-01
 1.32000000e+02,        +7.071067811865e+00,        +7.095751854658e+00,        +5.749767892819e-01,        +1.258733019555e+00,        -4.612372651047e+00,        +1.259236582985e+00,        -4.614023896834e+00,        +7.071067811865e+00,        +1.258733019555e+00,        -4.612372651047e+00,        +1.050304481304e+01,        +6.594832752250e-01,        -2.866019721019e+00,        -1.457649616805e+00,        +7.071067811865e+00,        +1.259236582985e+00,        -4.614023896834e+00,        -2.866019721019e+00,        -1.457649616805e+00,        +1.050015013294e+01,        +6.573494498934e-01
 1.33000000e+02,        +7.071067811865e+00,        +7.107140060699e+00,        +5.541591654177e-01,        +1.211139864104e+00,        -4.626090856134e+00,        +1.211607366158e+00,        -4.627753949465e+00,        +7.071067811865e+00,        +1.211139864104e+00,        -4.626090856134e+00,        +1.051252021154e+01,        +6.227777283741e-01,        -2.888274158966e+00,        -1.405250503359e+00,        +7.071067811865e+00,        +1.211607366158e+00,        -4.627753949465e+00,        -2.888274158966e+00,        -1.405250503359e+00,        +1.050959691336e+01,        +6.206601803511e-01
 1.34000000e+02,        +7.071067811865e+00,        +7.118108766716e+00,        +5.330970276621e-01,        +1.163359446682e+00,        -4.639287298601e+00,        +1.163790463753e+00,        -4.640961322529e+00,        +7.071067811865e+00,        +1.163359446682e+00,        -4.639287298601e+00,        +1.052147186394e+01,        +5.860686852888e-01,        -2.909669986092e+00,        -1.352585827673e+00,        +7.071067811865e+00,        +1.163790463753e+00,        -4.640961322529e+00,        -2.909669986092e+00,        -1.352585827673e+00,        +1.051852041458e+01,        +5.839678233649e-01
 1.35000000e+02,        +7.071067811865e+00,        +7.128652476935e+00,        +5.117988027847e-01,        +1.115398333200e+00,        -4.651958376286e+00,        +1.115792462377e+00,        -4.653642399520e+00,        +7.071067811865e+00,        +1.115398333200e+00,        -4.651958376286e+00,        +1.052990451630e+01,        +5.493594012829e-01,        -2.930206123739e+00,        -1.299665664034e+00,        +7.071067811865e+00,        +1.115792462377e+00,        -4.653642399520e+00,        -2.930206123739e+00,        -1.299665664034e+00,        +1.052692539037e+01,        +5.472756161018e-01
 1.36000000e+02,        +7.071067811865e+00,        +7.138765871606e+00,        +4.902730563281e-01,        +1.067263183015e+00,        -4.664100592996e+00,        +1.067620042356e+00,        -4.665793670179e+00,        +7.071067811865e+00,        +1.067263183016e+00,        -4.664100592996e+00,        +1.053782273691e+01,        +5.126529200262e-01,        -2.949881458785e+00,        -1.246500018891e+00,        +7.071067811865e+00,        +1.067620042356e+00,        -4.665793670179e+00,        -2.949881458785e+00,        -1.246500018891e+00,        +1.053481641609e+01,        +5.105865837021e-01
 1.37000000e+02,        +7.071067811865e+00,        +7.148443811124e+00,        +4.685284886393e-01,        +1.018960746644e+00,        -4.675710561393e+00,        +1.019279975450e+00,        -4.677411733378e+00,        +7.071067811865e+00,        +1.018960746644e+00,        -4.675710561393e+00,        +1.054523090930e+01,        +4.759520820300e-01,        -2.968694840737e+00,        -1.193098836156e+00,        +7.071067811865e+00,        +1.019279975450e+00,        -4.677411733377e+00,        -2.968694840737e+00,        -1.193098836156e+00,        +1.054219788170e+01,        +4.739035477622e-01
 1.38000000e+02,        +7.071067811865e+00,        +7.157681340048e+00,        +4.465739307578e-01,        +9.704978633836e-01,        -4.686785005835e+00,        +9.707791224729e-01,        -4.688493299941e+00,        +7.071067811865e+00,        +9.704978633837e-01,        -4.686785005835e+00,        +1.055213322526e+01,        +4.392595332137e-01,        -2.986645078762e+00,        -1.139472002459e+00,        +7.071067811865e+00,        +9.707791224730e-01,        -4.688493299941e+00,        -2.986645078763e+00,        -1.139472002459e+00,        +1.054907398471e+01,        +4.372291349054e-01
 1.39000000e+02,        +7.071067811865e+00,        +7.166473691019e+00,        +4.244183401636e-01,        +9.218814588280e-01,        -4.697320765147e+00,        +9.221244308090e-01,        -4.699035195403e+00,        +7.071067811865e+00,        +9.218814588280e-01,        -4.697320765148e+00,        +1.055853367787e+01,        +4.025777335805e-01,        -3.003730938640e+00,        -1.085629352377e+00,        +7.071067811865e+00,        +9.221244308090e-01,        -4.699035195403e+00,        -3.003730938640e+00,        -1.085629352377e+00,        +1.055544872327e+01,        +4.005657854592e-01
 1.40000000e+02,        +7.071067811865e+00,        +7.174816288558e+00,        +4.020707963888e-01,        +8.731185422927e-01,        -4.707314795323e+00,        +8.733229318407e-01,        -4.709034362701e+00,        +7.071067811865e+00,        +8.731185422928e-01,        -4.707314795323e+00,        +1.056443605449e+01,        +3.659089660056e-01,        -3.019951139596e+00,        -1.031580673640e+00,        +7.071067811865e+00,        +8.733229318407e-01,        -4.709034362701e+00,        -3.019951139596e+00,        -1.031580673640e+00,        +1.056132588904e+01,        +3.639157622425e-01
 1.41000000e+02,        +7.071067811865e+00,        +7.182704752758e+00,        +3.795404964942e-01,        +8.242162041409e-01,        -4.716764172159e+00,        +8.243817382778e-01,        -4.718487864791e+00,        +7.071067811865e+00,        +8.242162041409e-01,        -4.716764172159e+00,        +1.056984392969e+01,        +3.292553451576e-01,        -3.035304351002e+00,        -9.773357123407e-01,        +7.071067811865e+00,        +8.243817382777e-01,        -4.718487864792e+00,        -3.035304351002e+00,        -9.773357123406e-01,        +1.056670906016e+01,        +3.272811594868e-01
