        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.10400000e+02,        +7.363289163799e-13,        +7.650389801871e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.163258002042e-13,        +9.495315537302e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.152480172971e-13,        +9.495427559562e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.12000000e+02,        +7.378180028290e-13,        +7.640422334806e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.215624333108e-13,        +9.420366187672e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.204802158074e-13,        +9.420493048122e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +7.392965113446e-13,        +7.630454172834e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.267652172768e-13,        +9.346592419590e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.256789557127e-13,        +9.346732971960e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +7.407635697472e-13,        +7.620486775143e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.319335600705e-13,        +9.274009477590e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.308436478199e-13,        +9.274162586504e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +7.422183126716e-13,        +7.610521669854e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.370669644258e-13,        +9.202631854197e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.359737975239e-13,        +9.202796399486e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +7.436598822483e-13,        +7.600560451030e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.421650271008e-13,        +9.132473356975e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.410690040935e-13,        +9.132648238058e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +7.450874287896e-13,        +7.590604775804e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.472274383862e-13,        +9.063547178257e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.461289602121e-13,        +9.063731318578e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.21600000e+02,        +7.465001114760e-13,        +7.580656361602e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.522539819055e-13,        +8.995865967850e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.511534518093e-13,        +8.996058319415e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.23200000e+02,        +7.478970990449e-13,        +7.570716983455e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.572445347471e-13,        +8.929441909067e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.561423582290e-13,        +8.929641457074e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.24800000e+02,        +7.492775704782e-13,        +7.560788471379e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.621990679775e-13,        +8.864286798491e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.610956527787e-13,        +8.864492566084e-13,        +0.000000000000e+00,        +0.000000000000e+00
