        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 1.48800000e+02,        -2.167533229205e+01,        +1.758405215647e+02,        -4.395982014970e+00,        -8.531983870989e+01,        -4.399556184497e+00,        -8.526416222735e+01,        -4.395982014970e+00,        -8.531983870989e+01,        -5.190658704822e+00,        +6.969239771262e-01,        -8.063386956247e+00,        -1.698088768949e+02,        -4.399556184497e+00,        -8.526416222735e+01,        -8.063386956247e+00,        -1.698088768949e+02,        -5.185821269014e+00,        +8.038360683178e-01
 1.50400000e+02,        -2.170562504297e+01,        +1.771813463284e+02,        -4.396871954605e+00,        -8.624932745106e+01,        -4.400456418781e+00,        -8.619277103006e+01,        -4.396871954605e+00,        -8.624932745106e+01,        -5.181214924497e+00,        -1.927261919861e-01,        -8.068592820650e+00,        -1.715533101194e+02,        -4.400456418781e+00,        -8.619277103006e+01,        -8.068592820650e+00,        -1.715533101194e+02,        -5.176352627639e+00,        -8.486009057531e-02
 1.52000000e+02,        -2.172485956025e+01,        +1.785381873816e+02,        -4.397838961549e+00,        -8.717897408213e+01,        -4.401432696787e+00,        -8.712153959252e+01,        -4.397838961549e+00,        -8.717897408213e+01,        -5.173416129845e+00,        -1.081996907245e+00,        -8.073548539768e+00,        -1.732986331213e+02,        -4.401432696787e+00,        -8.712153959252e+01,        -8.073548539768e+00,        -1.732986331213e+02,        -5.168529647230e+00,        -9.731822723886e-01
 1.53600000e+02,        -2.173281069873e+01,        +1.799054179380e+02,        -4.398883971079e+00,        -8.810876533753e+01,        -4.402485967419e+00,        -8.805045503906e+01,        -4.398883971079e+00,        -8.810876533753e+01,        -5.167267672534e+00,        -1.971047628020e+00,        -8.078266617861e+00,        -1.750449734369e+02,        -4.402485967419e+00,        -8.805045503906e+01,        -8.078266617861e+00,        -1.750449734370e+02,        -5.162357738531e+00,        -1.861289826261e+00
 1.55200000e+02,        -2.172934846637e+01,        -1.787227618314e+02,        -4.400007856893e+00,        -8.903868778062e+01,        -4.403617119920e+00,        -8.897950434349e+01,        -4.400007856893e+00,        -8.903868778062e+01,        -5.162777916762e+00,        -2.860038361843e+00,        -8.082761511811e+00,        -1.767924636019e+02,        -4.403617119920e+00,        -8.897950434349e+01,        -8.082761511811e+00,        -1.767924636019e+02,        -5.157845331609e+00,        -2.749342632104e+00
 1.56800000e+02,        -2.171444156661e+01,        -1.773522307666e+02,        -4.401211430494e+00,        -8.996872781435e+01,        -4.404826983522e+00,        -8.990867434263e+01,        -4.401211430494e+00,        -8.996872781435e+01,        -5.159958484453e+00,        -3.749129332381e+00,        -8.087049920047e+00,        -1.785412413760e+02,        -4.404826983522e+00,        -8.990867434263e+01,        -8.087049920047e+00,        -1.785412413760e+02,        -5.155004122126e+00,        -3.637500763779e+00
 1.58400000e+02,        -2.168815825791e+01,        -1.759888494509e+02,        -4.402495440596e+00,        -9.089887169177e+01,        -4.406116327177e+00,        -9.083795175014e+01,        -4.402495440596e+00,        -9.089887169177e+01,        -5.158824543883e+00,        -4.638480491754e+00,        -8.091151124197e+00,        +1.797085500932e+02,        -4.406116327177e+00,        -9.083795175014e+01,        -8.091151124197e+00,        +1.797085500932e+02,        -5.153849361192e+00,        -4.525923995321e+00
 1.60000000e+02,        -2.165066448131e+01,        -1.746383636875e+02,        -4.403860572542e+00,        -9.182910552637e+01,        -4.407485859379e+00,        -9.176732317071e+01,        -4.403860572542e+00,        -9.182910552637e+01,        -5.159395149073e+00,        -5.528250827757e+00,        -8.095087394084e+00,        +1.779567622002e+02,        -4.407485859379e+00,        -9.176732317071e+01,        -8.095087394084e+00,        +1.779567622002e+02,        -5.154400196168e+00,        -5.414771100390e+00
 1.61600000e+02,        -2.160221936279e+01,        -1.733063126480e+02,        -4.405307447724e+00,        -9.275941530226e+01,        -4.408936228099e+00,        -9.269677511457e+01,        -4.405307447724e+00,        -9.275941530226e+01,        -5.161693638333e+00,        -6.418597399429e+00,        -8.098884468625e+00,        +1.762032409574e+02,        -4.408936228099e+00,        -9.269677511457e+01,        -8.098884468625e+00,        +1.762032409574e+02,        -5.156680070792e+00,        -6.304198878003e+00
 1.63200000e+02,        -2.154316834293e+01,        -1.719979452666e+02,        -4.406836622994e+00,        -9.368978688394e+01,        -4.410468020830e+00,        -9.362629401238e+01,        -4.406836622994e+00,        -9.368978688394e+01,        -5.165748101870e+00,        -7.309674013591e+00,        -8.102572128101e+00,        +1.744478272822e+02,        -4.410468020830e+00,        -9.362629401238e+01,        -8.102572128101e+00,        +1.744478272822e+02,        -5.160717194592e+00,        -7.194360816594e+00
 1.64800000e+02,        -2.147393430810e+01,        -1.707181478512e+02,        -4.408448590054e+00,        -9.462020602584e+01,        -4.412081764771e+00,        -9.455586623069e+01,        -4.408448590053e+00,        -9.462020602584e+01,        -5.171591929604e+00,        -8.201629425229e+00,        -8.106184876094e+00,        +1.726903575930e+02,        -4.412081764771e+00,        -9.455586623069e+01,        -8.106184876094e+00,        +1.726903575930e+02,        -5.166545092711e+00,        -8.085405278596e+00
 1.66400000e+02,        -2.139500718494e+01,        -1.694713850979e+02,        -4.410143774780e+00,        -9.555065838136e+01,        -4.413777927173e+00,        -9.548547808777e+01,        -4.410143774780e+00,        -9.555065838136e+01,        -5.179264451755e+00,        -9.094604906426e+00,        -8.109762753132e+00,        +1.709306648468e+02,        -4.413777927173e+00,        -9.548547808777e+01,        -8.109762753132e+00,        +1.709306648468e+02,        -5.174203248732e+00,        -8.977473049407e+00
 1.68000000e+02,        -2.130693250823e+01,        -1.682616558089e+02,        -4.411922536483e+00,        -9.648112951147e+01,        -4.415556915874e+00,        -9.641511587006e+01,        -4.411922536483e+00,        -9.648112951147e+01,        -5.188811685840e+00,        -9.988730976236e+00,        -8.113352308125e+00,        +1.691685802025e+02,        -4.415556915874e+00,        -9.641511587006e+01,        -8.113352308125e+00,        +1.691685802025e+02,        -5.183737854151e+00,        -9.870694041968e+00
 1.69600000e+02,        -2.121029947945e+01,        -1.670924637238e+02,        -4.413785167026e+00,        -9.741160489264e+01,        -4.417419080064e+00,        -9.734476584936e+01,        -4.413785167026e+00,        -9.741160489264e+01,        -5.200287204211e+00,        -1.088412301467e+01,        -8.117007758131e+00,        +1.674039355656e+02,        -4.417419080064e+00,        -9.734476584936e+01,        -8.117007758131e+00,        +1.674039355656e+02,        -5.195202678578e+00,        -1.076518287879e+01
 1.71200000e+02,        -2.110572900508e+01,        -1.659668030531e+02,        -4.415731889772e+00,        -9.834206992425e+01,        -4.419364711353e+00,        -9.827441430067e+01,        -4.415731889772e+00,        -9.834206992425e+01,        -5.213753135373e+00,        -1.178087539038e+01,        -8.120792371379e+00,        +1.656365673718e+02,        -4.419364711353e+00,        -9.827441430067e+01,        -8.120792371379e+00,        +1.656365673718e+02,        -5.208660073892e+00,        -1.166103297915e+01
 1.72800000e+02,        -2.099386214597e+01,        -1.648871576137e+02,        -4.417762858265e+00,        -9.927250993515e+01,        -4.421394045199e+00,        -9.920404752090e+01,        -4.417762858265e+00,        -9.927250993515e+01,        -5.229281309357e+00,        -1.267905360735e+01,        -8.124780112496e+00,        +1.638663221008e+02,        -4.421394045199e+00,        -9.920404752090e+01,        -8.124780112496e+00,        +1.638663221008e+02,        -5.224182122521e+00,        -1.255830865450e+01
 1.74400000e+02,        -2.087534933124e+01,        -1.638555119487e+02,        -4.419878154544e+00,        -1.002029101897e+02,        -4.423507262841e+00,        -1.001336518484e+02,        -4.419878154544e+00,        -1.002029101897e+02,        -5.246954550203e+00,        -1.357868381071e+01,        -8.129057590800e+00,        +1.620930642050e+02,        -4.423507262841e+00,        -1.001336518484e+02,        -8.129057590800e+00,        +1.620930642050e+02,        -5.241851932755e+00,        -1.345703454929e+01
 1.76000000e+02,        -2.075084060288e+01,        -1.628733724778e+02,        -4.422077786946e+00,        -1.011332558930e+02,        -4.425704493859e+00,        -1.010632136832e+02,        -4.422077786946e+00,        -1.011332558930e+02,        -5.266868104714e+00,        -1.447973877240e+01,        -8.133726350643e+00,        +1.603166873995e+02,        -4.425704493859e+00,        -1.010632136832e+02,        -8.133726350643e+00,        +1.603166873995e+02,        -5.261765069999e+00,        -1.435718154402e+01
 1.77600000e+02,        -2.062097706775e+01,        -1.619417965680e+02,        -4.424361687199e+00,        -1.020635321964e+02,        -4.427985819598e+00,        -1.019927195078e+02,        -4.424361687199e+00,        -1.020635321964e+02,        -5.289131171329e+00,        -1.538211919449e+01,        -8.138905532754e+00,        +1.585371306187e+02,        -4.427985819598e+00,        -1.019927195078e+02,        -8.138905532753e+00,        +1.585371306187e+02,        -5.284031087377e+00,        -1.525864795359e+01
 1.79200000e+02,        -2.048638365004e+01,        -1.610614274129e+02,        -4.426729706551e+00,        -1.029937242026e+02,        -4.430351277730e+00,        -1.029221559073e+02,        -4.426729706551e+00,        -1.029937242026e+02,        -5.313868449208e+00,        -1.628562880436e+01,        -8.144734911044e+00,        +1.567544004314e+02,        -4.430351277730e+00,        -1.029221559073e+02,        -8.144734911045e+00,        +1.567544004314e+02,        -5.308775075112e+00,        -1.616123448877e+01
 1.80800000e+02,        -2.034766316494e+01,        -1.602325327248e+02,        -4.429181610592e+00,        -1.039238169740e+02,        -4.432800868319e+00,        -1.038515095883e+02,        -4.429181610592e+00,        -1.039238169740e+02,        -5.341221554318e+00,        -1.718994127037e+01,        -8.151378259136e+00,        +1.549686023575e+02,        -4.432800868319e+00,        -1.038515095883e+02,        -8.151378259136e+00,        +1.549686023575e+02,        -5.336139074358e+00,        -1.706461100166e+01
 1.82400000e+02,        -2.020539167439e+01,        -1.594550454529e+02,        -4.431717072372e+00,        -1.048537955440e+02,        -4.435334561827e+00,        -1.047807673927e+02,        -4.431717072372e+00,        -1.048537955440e+02,        -5.371350029116e+00,        -1.809455644926e+01,        -8.159026906227e+00,        +1.531799843672e+02,        -4.435334561827e+00,        -1.047807673927e+02,        -8.159026906227e+00,        +1.531799843672e+02,        -5.366283080280e+00,        -1.796827251672e+01
 1.84000000e+02,        -2.006011504168e+01,        -1.587286050018e+02,        -4.434335663331e+00,        -1.057836449383e+02,        -4.437952309569e+00,        -1.057099163028e+02,        -4.434335663330e+00,        -1.057836449383e+02,        -5.404431480298e+00,        -1.899874294401e+01,        -8.167903174225e+00,        +1.513889968883e+02,        -4.437952309569e+00,        -1.057099163028e+02,        -8.167903174225e+00,        +1.513889968883e+02,        -5.399385166026e+00,        -1.887148151513e+01
 1.85600000e+02,        -1.991234657058e+01,        -1.580525977036e+02,        -4.437036841593e+00,        -1.067133502106e+02,        -4.440654057096e+00,        -1.066389434305e+02,        -4.437036841593e+00,        -1.067133502106e+02,        -5.440660078247e+00,        -1.990146354747e+01,        -8.178263100360e+00,        +1.495963748336e+02,        -4.440654057096e+00,        -1.066389434305e+02,        -8.178263100360e+00,        +1.495963748336e+02,        -5.435639956727e+00,        -1.977319303709e+01
 1.87200000e+02,        -1.976256559712e+01,        -1.574261955820e+02,        -4.439819937301e+00,        -1.076428965047e+02,        -4.443439760807e+00,        -1.075678359791e+02,        -4.439819937301e+00,        -1.076428965047e+02,        -5.480242194787e+00,        -2.080128019250e+01,        -8.190397374696e+00,        +1.478032482913e+02,        -4.443439760807e+00,        -1.075678359791e+02,        -8.190397374697e+00,        +1.478032482913e+02,        -5.475254223227e+00,        -2.067195921556e+01
 1.88800000e+02,        -1.961121689437e+01,        -1.568483927103e+02,        -4.442684135092e+00,        -1.085722691572e+02,        -4.446309407659e+00,        -1.084965811620e+02,        -4.442684135092e+00,        -1.085722691572e+02,        -5.523387287851e+00,        -2.169623615885e+01,        -8.204628665275e+00,        +1.460112890880e+02,        -4.446309407659e+00,        -1.084965811620e+02,        -8.204628665275e+00,        +1.460112890880e+02,        -5.518437693861e+00,        -2.156581099670e+01
 1.90400000e+02,        -1.945871075171e+01,        -1.563180387008e+02,        -4.445628454705e+00,        -1.095014538624e+02,        -4.449263036883e+00,        -1.094251660580e+02,        -4.445628454705e+00,        -1.095014538624e+02,        -5.570291223107e+00,        -2.258371668122e+01,        -8.221302353457e+00,        +1.442228993350e+02,        -4.449263036883e+00,        -1.094251660580e+02,        -8.221302353457e+00,        +1.442228993350e+02,        -5.565386259723e+00,        -2.245211822255e+01
 1.92000000e+02,        -1.930542359709e+01,        -1.558338690619e+02,        -4.448651732364e+00,        -1.104304369258e+02,        -4.452300760944e+00,        -1.103535773746e+02,        -4.448651732364e+00,        -1.104304369258e+02,        -5.621108085236e+00,        -2.346029677398e+01,        -8.240766067603e+00,        +1.424414431691e+02,        -4.452300760944e+00,        -1.103535773746e+02,        -8.240766067603e+00,        +1.424414431691e+02,        -5.616253606940e+00,        -2.332743697593e+01
 1.93600000e+02,        -1.915169904221e+01,        -1.553945323248e+02,        -4.451752608412e+00,        -1.113592056356e+02,        -4.455422780121e+00,        -1.112818010907e+02,        -4.451752608412e+00,        -1.113592056356e+02,        -5.675905407199e+00,        -2.432160011895e+01,        -8.263331330032e+00,        +1.406715104387e+02,        -4.455422780121e+00,        -1.112818010907e+02,        -8.263331330032e+00,        +1.406715104387e+02,        -5.671106182305e+00,        -2.418736821187e+01
