        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 9.76000000e+01,        +7.071067811865e+00,        +6.257334955409e+00,        +3.811501898284e-01,        +2.399524860277e+00,        -3.521008608003e+00,        +2.400523980412e+00,        -3.518733079386e+00,        +7.071067811865e+00,        +2.399524860277e+00,        -3.521008608003e+00,        +9.977078111161e+00,        +1.697775112728e+00,        -1.173346234613e+00,        -2.652104491309e+00,        +7.071067811865e+00,        +2.400523980412e+00,        -3.518733079386e+00,        -1.173346234613e+00,        -2.652104491309e+00,        +9.976207221733e+00,        +1.702245205711e+00
 9.92000000e+01,        +7.071067811865e+00,        +6.269035517472e+00,        +3.750483563411e-01,        +2.342947973770e+00,        -3.559352203427e+00,        +2.344020671130e+00,        -3.557042860071e+00,        +7.071067811865e+00,        +2.342947973770e+00,        -3.559352203427e+00,        +1.003046197910e+01,        +1.661438464158e+00,        -1.252394871122e+00,        -2.610340588592e+00,        +7.071067811865e+00,        +2.344020671130e+00,        -3.557042860071e+00,        -1.252394871122e+00,        -2.610340588592e+00,        +1.002963818251e+01,        +1.666026018455e+00
 1.00800000e+02,        +7.071067811865e+00,        +6.280542648944e+00,        +3.685835497590e-01,        +2.285726022976e+00,        -3.596795623273e+00,        +2.286874312530e+00,        -3.594454350695e+00,        +7.071067811865e+00,        +2.285726022976e+00,        -3.596795623273e+00,        +1.008258092865e+01,        +1.623674808662e+00,        -1.329947350408e+00,        -2.566351196415e+00,        +7.071067811865e+00,        +2.286874312530e+00,        -3.594454350695e+00,        -1.329947350408e+00,        -2.566351196415e+00,        +1.008180759712e+01,        +1.628379087524e+00
 1.02400000e+02,        +7.071067811865e+00,        +6.291845764771e+00,        +3.617610049415e-01,        +2.227872746265e+00,        -3.633326415266e+00,        +2.229098589668e+00,        -3.630955185171e+00,        +7.071067811865e+00,        +2.227872746265e+00,        -3.633326415266e+00,        +1.013340604812e+01,        +1.584530058868e+00,        -1.405949437001e+00,        -2.520189278167e+00,        +7.071067811865e+00,        +2.229098589669e+00,        -3.630955185171e+00,        -1.405949437001e+00,        -2.520189278167e+00,        +1.013268653672e+01,        +1.589350195038e+00
 1.04000000e+02,        +7.071067811865e+00,        +6.302934397032e+00,        +3.545862665461e-01,        +2.169402195011e+00,        -3.668932313266e+00,        +2.170707497188e+00,        -3.666533181522e+00,        +7.071067811865e+00,        +2.169402195011e+00,        -3.668932313266e+00,        +1.018291000989e+01,        +1.544050099447e+00,        -1.480348678861e+00,        -2.471908583853e+00,        +7.071067811865e+00,        +2.170707497188e+00,        -3.666533181522e+00,        -1.480348678861e+00,        -2.471908583853e+00,        +1.018224765150e+01,        +1.548985096446e+00
 1.05600000e+02,        +7.071067811865e+00,        +6.313798205113e+00,        +3.470651874748e-01,        +2.110328731913e+00,        -3.703601247573e+00,        +2.111715337715e+00,        -3.701176352083e+00,        +7.071067811865e+00,        +2.110328731913e+00,        -3.703601247573e+00,        +1.023106701959e+01,        +1.502280738472e+00,        -1.553094383416e+00,        -2.421563597101e+00,        +7.071067811865e+00,        +2.111715337715e+00,        -3.701176352083e+00,        -1.553094383417e+00,        -2.421563597101e+00,        +1.023046512010e+01,        +1.507329472081e+00
 1.07200000e+02,        +7.071067811865e+00,        +6.324426985914e+00,        +3.392039269352e-01,        +2.050667028913e+00,        -3.737321355272e+00,        +2.052136719869e+00,        -3.734872913739e+00,        +7.071067811865e+00,        +2.050667028914e+00,        -3.737321355272e+00,        +1.027785276445e+01,        +1.459267662492e+00,        -1.624137592626e+00,        -2.369209484940e+00,        +7.071067811865e+00,        +2.052136719869e+00,        -3.734872913739e+00,        -1.624137592626e+00,        -2.369209484940e+00,        +1.027731459797e+01,        +1.464428882407e+00
 1.08800000e+02,        +7.071067811865e+00,        +6.334810684064e+00,        +3.310089481076e-01,        +1.990432064726e+00,        -3.770080990609e+00,        +1.991986555874e+00,        -3.767611298192e+00,        +7.071067811865e+00,        +1.990432064726e+00,        -3.770080990609e+00,        +1.032324436068e+01,        +1.415056395246e+00,        -1.693431057182e+00,        -2.314902050275e+00,        +7.071067811865e+00,        +1.991986555874e+00,        -3.767611298192e+00,        -1.693431057182e+00,        -2.314902050275e+00,        +1.032277316496e+01,        +1.420328726897e+00
 1.10400000e+02,        +7.071067811865e+00,        +6.344939402127e+00,        +3.224870154155e-01,        +1.929639121964e+00,        -3.801868735352e+00,        +1.931280058770e+00,        -3.799380162229e+00,        +7.071067811865e+00,        +1.929639121964e+00,        -3.801868735352e+00,        +1.036722030025e+01,        +1.369692259981e+00,        -1.760929209962e+00,        -2.258697687003e+00,        +7.071067811865e+00,        +1.931280058770e+00,        -3.799380162229e+00,        -1.760929209962e+00,        -2.258697687003e+00,        +1.036681927225e+01,        +1.375074206498e+00
 1.12000000e+02,        +7.071067811865e+00,        +6.354803410796e+00,        +3.136451913958e-01,        +1.868303783859e+00,        -3.832673409154e+00,        +1.870032739224e+00,        -3.830168397978e+00,        +7.071067811865e+00,        +1.868303783859e+00,        -3.832673409154e+00,        +1.040976039709e+01,        +1.323220345292e+00,        -1.826588138826e+00,        -2.200653337713e+00,        +7.071067811865e+00,        +1.870032739224e+00,        -3.830168397978e+00,        -1.826588138826e+00,        -2.200653337713e+00,        +1.040943268869e+01,        +1.328710289607e+00
