        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 2.16000000e+02,        +7.071067811865e+00,        +4.516042176996e+00,        -1.983538414125e+00,        -2.431682269769e+00,        -2.107939221805e+00,        -1.234399779718e+00,        +3.996267486976e+00,        -2.396018716754e-01,        -2.469878939995e+00,        +7.071067811865e+00,        -2.431682269769e+00,        -2.107939221805e+00,        +4.508395514140e+00,        -1.990735221308e+00,        -2.372168665527e-01,        -2.466484853890e+00,        -1.228648595910e+00,        +3.993295204119e+00,        +7.071067811865e+00,        -1.234399779718e+00,        +3.996267486976e+00,        -2.372168665526e-01,        -2.466484853890e+00,        +4.519457072409e+00,        -1.993054877753e+00,        -2.430092116572e+00,        -2.109653091926e+00,        +7.071067811865e+00,        -2.396018716754e-01,        -2.469878939995e+00,        -1.228648595910e+00,        +3.993295204119e+00,        -2.430092116572e+00,        -2.109653091926e+00,        +4.510762804506e+00,        -1.988854933649e+00
 2.17600000e+02,        +7.071067811865e+00,        +4.419167160651e+00,        -1.951068712002e+00,        -2.433048370330e+00,        -2.058142310838e+00,        -1.093097944880e+00,        +4.002785086749e+00,        -3.067089786979e-01,        -2.494805622231e+00,        +7.071067811865e+00,        -2.433048370330e+00,        -2.058142310838e+00,        +4.411626621786e+00,        -1.958125017893e+00,        -3.041527973516e-01,        -2.491515903716e+00,        -1.087576955192e+00,        +3.999563370883e+00,        +7.071067811865e+00,        -1.093097944880e+00,        +4.002785086749e+00,        -3.041527973516e-01,        -2.491515903716e+00,        +4.422427151227e+00,        -1.960721586321e+00,        -2.431494987748e+00,        -2.059859051229e+00,        +7.071067811865e+00,        -3.067089786979e-01,        -2.494805622231e+00,        -1.087576955192e+00,        +3.999563370883e+00,        -2.431494987748e+00,        -2.059859051229e+00,        +4.413918654911e+00,        -1.956191498097e+00
 2.19200000e+02,        +7.071067811865e+00,        +4.325744210821e+00,        -1.914603635570e+00,        -2.433985460451e+00,        -2.011009742123e+00,        -9.541028777408e-01,        +4.004326736651e+00,        -3.746154289256e-01,        -2.516238953062e+00,        +7.071067811865e+00,        -2.433985460451e+00,        -2.011009742123e+00,        +4.318312009222e+00,        -1.921536052003e+00,        -3.718948733864e-01,        -2.513060491346e+00,        -9.488192912852e-01,        +4.000875295150e+00,        +7.071067811865e+00,        -9.541028777408e-01,        +4.004326736651e+00,        -3.718948733864e-01,        -2.513060491346e+00,        +4.328846523863e+00,        -1.924387787756e+00,        -2.432467183665e+00,        -2.012728521708e+00,        +7.071067811865e+00,        -3.746154289256e-01,        -2.516238953062e+00,        -9.488192912852e-01,        +4.000875295150e+00,        -2.432467183665e+00,        -2.012728521708e+00,        +4.320533821792e+00,        -1.919547141627e+00
 2.20800000e+02,        +7.071067811865e+00,        +4.235896029957e+00,        -1.874457366023e+00,        -2.434723159163e+00,        -1.966402515398e+00,        -8.175457136425e-01,        +4.001170997736e+00,        -4.430951209702e-01,        -2.534284269424e+00,        +7.071067811865e+00,        -2.434723159163e+00,        -1.966402515398e+00,        +4.228572935294e+00,        -1.881281646300e+00,        -4.402170987023e-01,        -2.531223413726e+00,        -8.125051620522e-01,        +3.997509013493e+00,        +7.071067811865e+00,        -8.175457136425e-01,        +4.001170997736e+00,        -4.402170987023e-01,        -2.531223413726e+00,        +4.238838069534e+00,        -1.884367592012e+00,        -2.433238364052e+00,        -1.968122602629e+00,        +7.071067811865e+00,        -4.430951209702e-01,        -2.534284269424e+00,        -8.125051620522e-01,        +3.997509013493e+00,        -2.433238364052e+00,        -1.968122602629e+00,        +4.230729507768e+00,        -1.879235677050e+00
 2.22400000e+02,        +7.071067811865e+00,        +4.149718910030e+00,        -1.830939272555e+00,        -2.435466070552e+00,        -1.924171475896e+00,        -6.835320770295e-01,        +3.993590729150e+00,        -5.119457874342e-01,        -2.549055957394e+00,        +7.071067811865e+00,        -2.435466070552e+00,        -1.924171475896e+00,        +4.142504435485e+00,        -1.837670242187e+00,        -5.089172691775e-01,        -2.546118545917e+00,        -6.787387789828e-01,        +3.989736777861e+00,        +7.071067811865e+00,        -6.835320770295e-01,        +3.993590729150e+00,        -5.089172691775e-01,        -2.546118545917e+00,        +4.152498263181e+00,        -1.840970300707e+00,        -2.434013173101e+00,        -1.925892231176e+00,        +7.071067811865e+00,        -5.119457874341e-01,        -2.549055957394e+00,        -6.787387789827e-01,        +3.989736777861e+00,        -2.434013173101e+00,        -1.925892231176e+00,        +4.144600657048e+00,        -1.835566009860e+00
 2.24000000e+02,        +7.071067811865e+00,        +4.067284651951e+00,        -1.784351960420e+00,        -2.436394786100e+00,        -1.884160287517e+00,        -5.521440792767e-01,        +3.981851132458e+00,        -5.809879165315e-01,        -2.560674481671e+00,        +7.071067811865e+00,        -2.436394786100e+00,        -1.884160287517e+00,        +4.060177231598e+00,        -1.791003477997e+00,        -5.778159006936e-01,        -2.557865872905e+00,        -5.476009969286e-01,        +3.977823128942e+00,        +7.071067811865e+00,        -5.521440792767e-01,        +3.981851132458e+00,        -5.778159006935e-01,        -2.557865872905e+00,        +4.069899095417e+00,        -1.794498456706e+00,        -2.434972241599e+00,        -1.885881156195e+00,        +7.071067811865e+00,        -5.809879165315e-01,        -2.560674481671e+00,        -5.476009969286e-01,        +3.977823128942e+00,        -2.434972241599e+00,        -1.885881156195e+00,        +4.062217869355e+00,        -1.788840215808e+00
 2.25600000e+02,        +7.071067811865e+00,        +3.988642553353e+00,        -1.734989664456e+00,        -2.437667099851e+00,        -1.846208029586e+00,        -4.234423880046e-01,        +3.966208145136e+00,        -6.500634575095e-01,        -2.569263795160e+00,        +7.071067811865e+00,        -2.437667099851e+00,        -1.846208029586e+00,        +3.981639705154e+00,        -1.741574607693e+00,        -6.467549409193e-01,        -2.566588900300e+00,        -4.191513707081e-01,        +3.962023313775e+00,        +7.071067811865e+00,        -4.234423880046e-01,        +3.966208145136e+00,        -6.467549409193e-01,        -2.566588900300e+00,        +3.991090060262e+00,        -1.745246239402e+00,        -2.436273401757e+00,        -1.847928535432e+00,        +7.071067811865e+00,        -6.500634575095e-01,        -2.569263795160e+00,        -4.191513707081e-01,        +3.962023313775e+00,        -2.436273401757e+00,        -1.847928535432e+00,        +3.983629377038e+00,        -1.739351959364e+00
 2.27200000e+02,        +7.071067811865e+00,        +3.913821414808e+00,        -1.683136967079e+00,        -2.439419369874e+00,        -1.810151431425e+00,        -2.974683179395e-01,        +3.946907162431e+00,        -7.190343764953e-01,        -2.574949114634e+00,        +7.071067811865e+00,        -2.439419369874e+00,        -1.810151431425e+00,        +3.906919886313e+00,        -1.689667238359e+00,        -7.155963310938e-01,        -2.572412430095e+00,        -2.934302304139e-01,        +3.942582026128e+00,        +7.071067811865e+00,        -2.974683179395e-01,        +3.946907162431e+00,        -7.155963310938e-01,        -2.572412430095e+00,        +3.916100160710e+00,        -1.693498184423e+00,        -2.438053048212e+00,        -1.811871170605e+00,        +7.071067811865e+00,        -7.190343764953e-01,        -2.574949114634e+00,        -2.934302304139e-01,        +3.942582026128e+00,        -2.438053048212e+00,        -1.811871170605e+00,        +3.908863037210e+00,        -1.687385231166e+00
 2.28800000e+02,        +7.071067811865e+00,        +3.842831522622e+00,        -1.629067814557e+00,        -2.441767969159e+00,        -1.775826766041e+00,        -1.742459014611e-01,        +3.924182061651e+00,        -7.877811197166e-01,        -2.577855041431e+00,        +7.071067811865e+00,        -2.441767969159e+00,        -1.775826766041e+00,        +3.836027418240e+00,        -1.635554360194e+00,        -7.842204745832e-01,        -2.575460680594e+00,        -1.704607353756e-01,        +3.919732443699e+00,        +7.071067811865e+00,        -1.742459014611e-01,        +3.924182061651e+00,        -7.842204745832e-01,        -2.575460680594e+00,        +3.844939890328e+00,        -1.639528201352e+00,        -2.440427588396e+00,        -1.777545401701e+00,        +7.071067811865e+00,        -7.877811197166e-01,        -2.577855041431e+00,        -1.704607353756e-01,        +3.919732443699e+00,        -2.440427588396e+00,        -1.777545401701e+00,        +3.837928298973e+00,        -1.633213378054e+00
 2.30400000e+02,        +7.071067811865e+00,        +3.775666574311e+00,        -1.573044802130e+00,        -2.444810778461e+00,        -1.743071428991e+00,        -5.378390498871e-02,        +3.898254499748e+00,        -8.562010315987e-01,        -2.578104001391e+00,        +7.071067811865e+00,        -2.444810778461e+00,        -1.743071428991e+00,        +3.768955464597e+00,        -1.579497640082e+00,        -8.525246596236e-01,        -2.575855724982e+00,        -5.025087448745e-02,        +3.893695533550e+00,        +7.071067811865e+00,        -5.378390498871e-02,        +3.898254499748e+00,        -8.525246596236e-01,        -2.575855724982e+00,        +3.777603157168e+00,        -1.583598859841e+00,        -2.443494934874e+00,        -1.744788686575e+00,        +7.071067811865e+00,        -8.562010315987e-01,        -2.578104001391e+00,        -5.025087448746e-02,        +3.893695533550e+00,        -2.443494934874e+00,        -1.744788686575e+00,        +3.770818113501e+00,        -1.577098396705e+00
 2.32000000e+02,        +7.071067811865e+00,        +3.712305520467e+00,        -1.515318696891e+00,        -2.448628682471e+00,        -1.711725231197e+00,        +6.392223505687e-02,        +3.869333453470e+00,        -9.242067663990e-01,        -2.575814975542e+00,        +7.071067811865e+00,        -2.448628682471e+00,        -1.711725231197e+00,        +3.705682535080e+00,        -1.521746948562e+00,        -9.204214748893e-01,        -2.573716220227e+00,        +6.720461221428e-02,        +3.864679596020e+00,        +7.071067811865e+00,        +6.392223505687e-02,        +3.869333453470e+00,        -9.204214748893e-01,        -2.573716220227e+00,        +3.714069123878e+00,        -1.525960912958e+00,        -2.447336001084e+00,        -1.713440894641e+00,        +7.071067811865e+00,        -9.242067663990e-01,        -2.575814975542e+00,        +6.720461221429e-02,        +3.864679596020e+00,        -2.447336001084e+00,        -1.713440894641e+00,        +3.707510761997e+00,        -1.519290460687e+00
 2.33600000e+02,        +7.071067811865e+00,        +3.652714303649e+00,        -1.456128167127e+00,        -2.453287038677e+00,        -1.681631435741e+00,        +1.788885760640e-01,        +3.837614971216e+00,        -9.917247240247e-01,        -2.571102491892e+00,        +7.071067811865e+00,        -2.453287038677e+00,        -1.681631435741e+00,        +3.646174210361e+00,        -1.462540090017e+00,        -9.878372485730e-01,        -2.569156396886e+00,        +1.819224094121e-01,        +3.832880017377e+00,        +7.071067811865e+00,        +1.788885760639e-01,        +3.837614971216e+00,        -9.878372485730e-01,        -2.569156396886e+00,        +3.654303944871e+00,        -1.466853026460e+00,        -2.452016169942e+00,        -1.683345344640e+00,        +7.071067811865e+00,        -9.917247240247e-01,        -2.571102491892e+00,        +1.819224094121e-01,        +3.832880017377e+00,        -2.452016169942e+00,        -1.683345344640e+00,        +3.647971582961e+00,        -1.460027650768e+00
 2.35200000e+02,        +7.071067811865e+00,        +3.596847481071e+00,        -1.395699687645e+00,        -2.458837095413e+00,        -1.652637568622e+00,        +2.911409460776e-01,        +3.803282106608e+00,        -1.058693533617e+00,        -2.564075848738e+00,        +7.071067811865e+00,        -2.458837095413e+00,        -1.652637568622e+00,        +3.590384753501e+00,        -1.402102706718e+00,        -1.054710534639e+00,        -2.562285280356e+00,        +2.939289128539e-01,        +3.798479202334e+00,        +7.071067811865e+00,        +2.911409460776e-01,        +3.803282106608e+00,        -1.054710534639e+00,        -2.562285280356e+00,        +3.598262387481e+00,        -1.406501683597e+00,        -2.457586711778e+00,        -1.654349616403e+00,        +7.071067811865e+00,        -1.058693533617e+00,        -2.564075848738e+00,        +2.939289128540e-01,        +3.798479202334e+00,        -2.457586711778e+00,        -1.654349616403e+00,        +3.592154585839e+00,        -1.399535859170e+00
 2.36800000e+02,        +7.071067811865e+00,        +3.544649723102e+00,        -1.334247592258e+00,        -2.465317341660e+00,        -1.624596032565e+00,        +4.007133417765e-01,        +3.766505005494e+00,        -1.125062602392e+00,        -2.554838540861e+00,        +7.071067811865e+00,        -2.465317341660e+00,        -1.624596032565e+00,        +3.538258599772e+00,        -1.340648328895e+00,        -1.120990663837e+00,        -2.553206115031e+00,        +4.032586344043e-01,        +3.761646659073e+00,        +7.071067811865e+00,        +4.007133417764e-01,        +3.766505005494e+00,        -1.120990663837e+00,        -2.553206115031e+00,        +3.545889329218e+00,        -1.345121236737e+00,        -2.464086134242e+00,        -1.626306165663e+00,        +7.071067811865e+00,        -1.125062602392e+00,        -2.554838540861e+00,        +4.032586344043e-01,        +3.761646659073e+00,        -2.464086134242e+00,        -1.626306165663e+00,        +3.540003943026e+00,        -1.338028839948e+00
 2.38400000e+02,        +7.071067811865e+00,        +3.496057183910e+00,        -1.271974246778e+00,        -2.472754776425e+00,        -1.597364551485e+00,        +5.076464514017e-01,        +3.727441120296e+00,        -1.190790742082e+00,        -2.543487861494e+00,        +7.071067811865e+00,        -2.472754776425e+00,        -1.597364551485e+00,        +3.489731720920e+00,        -1.278378544941e+00,        -1.186636371908e+00,        -2.542015964324e+00,        +5.099527299680e-01,        +3.722539211422e+00,        +7.071067811865e+00,        +5.076464514017e-01,        +3.727441120296e+00,        -1.186636371908e+00,        -2.542015964324e+00,        +3.497121127544e+00,        -1.282914079276e+00,        -2.471541451939e+00,        -1.599072769469e+00,        +7.071067811865e+00,        -1.190790742082e+00,        -2.543487861494e+00,        +5.099527299680e-01,        +3.722539211422e+00,        -2.471541451939e+00,        -1.599072769469e+00,        +3.491455356222e+00,        -1.275708379631e+00
 2.40000000e+02,        +7.071067811865e+00,        +3.450998744084e+00,        -1.209070318318e+00,        -2.481166089832e+00,        -1.570806471285e+00,        +6.119863030501e-01,        +3.686235528092e+00,        -1.255844881021e+00,        -2.530114654902e+00,        +7.071067811865e+00,        -2.481166089832e+00,        -1.570806471285e+00,        +3.444732863275e+00,        -1.215483268085e+00,        -1.251614513122e+00,        -2.528805461407e+00,        +6.140576511431e-01,        +3.681301315021e+00,        +7.071067811865e+00,        +6.119863030501e-01,        +3.686235528092e+00,        -1.251614513122e+00,        -2.528805461407e+00,        +3.451886861982e+00,        -1.220070913775e+00,        -2.479969367930e+00,        -1.572512827823e+00,        +7.071067811865e+00,        -1.255844881021e+00,        -2.530114654902e+00,        +6.140576511431e-01,        +3.681301315021e+00,        -2.479969367930e+00,        -1.572512827823e+00,        +3.446437296527e+00,        -1.212764564465e+00
