        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 1.12000000e+02,        -6.346840427144e+00,        +1.343972870836e+02,        -7.408779360766e+00,        -5.891993617234e+01,        -4.623028852885e+00,        -1.133010048543e+02,        -8.567397597219e+00,        -8.793464061956e+01,        -7.408779360766e+00,        -5.891993617234e+01,        -6.356480315035e+00,        +1.344087270068e+02,        -8.561799251329e+00,        -8.792779874402e+01,        -4.619383699952e+00,        -1.133207987724e+02,        -4.623028852885e+00,        -1.133010048543e+02,        -8.561799251329e+00,        -8.792779874402e+01,        -6.346993453395e+00,        +1.343830611487e+02,        -7.412759320750e+00,        -5.889564625244e+01,        -8.567397597219e+00,        -8.793464061956e+01,        -4.619383699952e+00,        -1.133207987724e+02,        -7.412759320750e+00,        -5.889564625244e+01,        -6.349607171736e+00,        +1.343278985559e+02
 1.13600000e+02,        -6.473491764153e+00,        +1.329438916973e+02,        -7.356859166346e+00,        -5.940263672461e+01,        -4.555099151970e+00,        -1.151387898540e+02,        -8.652632059648e+00,        -8.933982605991e+01,        -7.356859166346e+00,        -5.940263672461e+01,        -6.483737117812e+00,        +1.329535455899e+02,        -8.646841437732e+00,        -8.933385401391e+01,        -4.551366152560e+00,        -1.151597518566e+02,        -4.555099151970e+00,        -1.151387898540e+02,        -8.646841437732e+00,        -8.933385401391e+01,        -6.473691252019e+00,        +1.329275467663e+02,        -7.360830136996e+00,        -5.937702117641e+01,        -8.652632059648e+00,        -8.933982605991e+01,        -4.551366152560e+00,        -1.151597518566e+02,        -7.360830136996e+00,        -5.937702117641e+01,        -6.476563123669e+00,        +1.328705892896e+02
 1.15200000e+02,        -6.610092682684e+00,        +1.314574501548e+02,        -7.299116346546e+00,        -5.989819590016e+01,        -4.486685364041e+00,        -1.169971060452e+02,        -8.743330650192e+00,        -9.075898648086e+01,        -7.299116346546e+00,        -5.989819590016e+01,        -6.620993913103e+00,        +1.314651389411e+02,        -8.737341256045e+00,        -9.075396078705e+01,        -4.482867152903e+00,        -1.170192936216e+02,        -4.486685364041e+00,        -1.169971060452e+02,        -8.737341256045e+00,        -9.075396078705e+01,        -6.610343059287e+00,        +1.314388092023e+02,        -7.303066860683e+00,        -5.987125247980e+01,        -8.743330650192e+00,        -9.075898648086e+01,        -4.482867152903e+00,        -1.170192936216e+02,        -7.303066860683e+00,        -5.987125247980e+01,        -6.613498632481e+00,        +1.313799750739e+02
 1.16800000e+02,        -6.757309978782e+00,        +1.299370677469e+02,        -7.235532861372e+00,        -6.040996076503e+01,        -4.417949107910e+00,        -1.188765253659e+02,        -8.840039701279e+00,        -9.219163263241e+01,        -7.235532861372e+00,        -6.040996076503e+01,        -6.768922804821e+00,        +1.299425977516e+02,        -8.833844639034e+00,        -9.218763659067e+01,        -4.414048868787e+00,        -1.188999976309e+02,        -4.417949107910e+00,        -1.188765253659e+02,        -8.833844639034e+00,        -9.218763659067e+01,        -6.757616067909e+00,        +1.299159371558e+02,        -7.239451263783e+00,        -6.038169439775e+01,        -8.840039701279e+00,        -9.219163263241e+01,        -4.414048868788e+00,        -1.188999976309e+02,        -7.239451263783e+00,        -6.038169439775e+01,        -6.761083705610e+00,        +1.298551389001e+02
 1.18400000e+02,        -6.915867876205e+00,        +1.283818183045e+02,        -7.166138603703e+00,        -6.094141432476e+01,        -4.349062891756e+00,        -1.207775609460e+02,        -8.943349220114e+00,        -9.363701396806e+01,        -7.166138603703e+00,        -6.094141432476e+01,        -6.928253993554e+00,        +1.283849795366e+02,        -8.936941166364e+00,        -9.363413859475e+01,        -4.345084405204e+00,        -1.208023785001e+02,        -4.349062891756e+00,        -1.207775609460e+02,        -8.936941166364e+00,        -9.363413859475e+01,        -6.916234927074e+00,        +1.283579857619e+02,        -7.170013180170e+00,        -6.091183738579e+01,        -8.943349220114e+00,        -9.363701396806e+01,        -4.345084405204e+00,        -1.208023785001e+02,        -7.170013180170e+00,        -6.091183738579e+01,        -6.920046165490e+00,        +1.282951296545e+02
 1.20000000e+02,        -7.086553814211e+00,        +1.267907374669e+02,        -7.091015860125e+00,        -6.149614280656e+01,        -4.280209795493e+00,        -1.227006578142e+02,        -9.053895035219e+00,        -9.509407376828e+01,        -7.091015860125e+00,        -6.149614280656e+01,        -7.099781667247e+00,        +1.267913015844e+02,        -9.047266212799e+00,        -9.509241889652e+01,        -4.276157488332e+00,        -1.227268825664e+02,        -4.280209795492e+00,        -1.227006578142e+02,        -9.047266212799e+00,        -9.509241889652e+01,        -7.086987529090e+00,        +1.267639695078e+02,        -7.094834975451e+00,        -6.146527527826e+01,        -9.053895035219e+00,        -9.509407376828e+01,        -4.276157488332e+00,        -1.227268825664e+02,        -7.094834975451e+00,        -6.146527527826e+01,        -7.091177490728e+00,        +1.266989549372e+02
 1.21600000e+02,        -7.270225081398e+00,        +1.251628126086e+02,        -7.010303209172e+00,        -6.207779728846e+01,        -4.211582964699e+00,        -1.246461832425e+02,        -9.172360817874e+00,        -9.656139770408e+01,        -7.010303209172e+00,        -6.207779728846e+01,        -7.284370757553e+00,        +1.251605304807e+02,        -9.165502973043e+00,        -9.656107327569e+01,        -4.207461960703e+00,        -1.246738781941e+02,        -4.211582964699e+00,        -1.246461832425e+02,        -9.165502973043e+00,        -9.656107327569e+01,        -7.270731640489e+00,        +1.251328517312e+02,        -7.014055450952e+00,        -6.204566678063e+01,        -9.172360817874e+00,        -9.656139770408e+01,        -4.207461960703e+00,        -1.246738781941e+02,        -7.014055450952e+00,        -6.204566678063e+01,        -7.275339512056e+00,        +1.250655704338e+02
 1.23200000e+02,        -7.467816493972e+00,        +1.234969683157e+02,        -6.924198686865e+00,        -6.269005013544e+01,        -4.143384892489e+00,        -1.266144168855e+02,        -9.299479910204e+00,        -9.803715484294e+01,        -6.924198686865e+00,        -6.269005013544e+01,        -7.482964764913e+00,        +1.234915670749e+02,        -9.292384295649e+00,        -9.803828242909e+01,        -4.139201063777e+00,        -1.266436458688e+02,        -4.143384892489e+00,        -1.266144168855e+02,        -9.292384295648e+00,        -9.803828242909e+01,        -7.468402575259e+00,        +1.234635295750e+02,        -6.927873011258e+00,        -6.265669176008e+01,        -9.299479910204e+00,        -9.803715484294e+01,        -4.139201063777e+00,        -1.266436458688e+02,        -6.927873011258e+00,        -6.265669176008e+01,        -7.473472163213e+00,        +1.233938647053e+02
 1.24800000e+02,        -7.680349374900e+00,        +1.217920459817e+02,        -6.832962058951e+00,        -6.333654694351e+01,        -4.075826467549e+00,        -1.286055409112e+02,        -9.436036872207e+00,        -9.951902990333e+01,        -6.832962058951e+00,        -6.333654694351e+01,        -7.696594914771e+00,        +1.217832254199e+02,        -9.428694239295e+00,        -9.952174449846e+01,        -4.071586486004e+00,        -1.286363682782e+02,        -4.075826467549e+00,        -1.286055409112e+02,        -9.428694239295e+00,        -9.952174449846e+01,        -7.681022165633e+00,        +1.217548129410e+02,        -6.836547934415e+00,        -6.330200304068e+01,        -9.436036872207e+00,        -9.951902990333e+01,        -4.071586486004e+00,        -1.286363682782e+02,        -6.836547934415e+00,        -6.330200304068e+01,        -7.686602545339e+00,        +1.216826379226e+02
 1.26400000e+02,        -7.908942166253e+00,        +1.200467756652e+02,        -6.736916057331e+00,        -6.402085492341e+01,        -4.009125769959e+00,        -1.306196303631e+02,        -9.582868633583e+00,        -1.010041453155e+02,        -6.736916057331e+00,        -6.402085492341e+01,        -7.926390985032e+00,        +1.200342037845e+02,        -9.575269238658e+00,        -1.010085974583e+02,        -4.004837157846e+00,        -1.306521206225e+02,        -4.009125769959e+00,        -1.306196303631e+02,        -9.575269238658e+00,        -1.010085974583e+02,        -7.909709361268e+00,        +1.200053955520e+02,        -6.740403602147e+00,        -6.398517464032e+01,        -9.582868633583e+00,        -1.010041453155e+02,        -4.004837157846e+00,        -1.306521206225e+02,        -6.740403602147e+00,        -6.398517464032e+01,        -7.915855639921e+00,        +1.199305726404e+02
