        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 9.60000000e+01,        +1.414213562373e-01,        +7.834305066020e-02,        +4.050718661800e-02,        +3.434444156277e-02,        -4.761648281693e-02,        -7.945266566236e-03,        -7.688003128121e-02,        +1.504974497144e-02,        -5.477772872115e-02,        +1.414213562373e-01,        +3.434444156277e-02,        -4.761648281693e-02,        +7.836775660810e-02,        +4.045739607257e-02,        +1.506844539364e-02,        -5.479948237095e-02,        -7.962338643563e-03,        -7.690253630912e-02,        +1.414213562373e-01,        -7.945266566236e-03,        -7.688003128121e-02,        +1.506844539364e-02,        -5.479948237095e-02,        +7.834217498304e-02,        +4.050799718126e-02,        +3.434070579063e-02,        -4.758963308072e-02,        +1.414213562373e-01,        +1.504974497144e-02,        -5.477772872115e-02,        -7.962338643563e-03,        -7.690253630912e-02,        +3.434070579063e-02,        -4.758963308072e-02,        +7.837823772888e-02,        +4.054815885656e-02
 9.76000000e+01,        +1.414213562373e-01,        +7.956826597591e-02,        +4.152297454661e-02,        +3.393749498276e-02,        -4.792145547878e-02,        -1.025071380720e-02,        -7.711612700316e-02,        +1.374507524293e-02,        -5.476596568003e-02,        +1.414213562373e-01,        +3.393749498276e-02,        -4.792145547878e-02,        +7.959430502690e-02,        +4.147219690898e-02,        +1.376307468158e-02,        -5.478898405359e-02,        -1.026959654621e-02,        -7.713896916624e-02,        +1.414213562373e-01,        -1.025071380720e-02,        -7.711612700316e-02,        +1.376307468158e-02,        -5.478898405359e-02,        +7.956823655219e-02,        +4.152474500915e-02,        +3.393454596046e-02,        -4.789353990184e-02,        +1.414213562373e-01,        +1.374507524293e-02,        -5.476596568003e-02,        -1.026959654621e-02,        -7.713896916624e-02,        +3.393454596045e-02,        -4.789353990184e-02,        +7.960650256498e-02,        +4.156472536691e-02
 9.92000000e+01,        +1.414213562373e-01,        +8.086372615539e-02,        +4.250726227478e-02,        +3.355191588057e-02,        -4.823984297195e-02,        -1.259720267903e-02,        -7.729661007280e-02,        +1.243555067416e-02,        -5.471575067966e-02,        +1.414213562373e-01,        +3.355191588057e-02,        -4.823984297195e-02,        +8.089120221377e-02,        +4.245544834943e-02,        +1.245276442101e-02,        -5.474003277110e-02,        -1.261800643780e-02,        -7.731970889335e-02,        +1.414213562373e-01,        -1.259720267903e-02,        -7.729661007280e-02,        +1.245276442101e-02,        -5.474003277110e-02,        +8.086464421814e-02,        +4.251002062800e-02,        +3.354982470076e-02,        -4.821086452053e-02,        +1.414213562373e-01,        +1.243555067416e-02,        -5.471575067966e-02,        -1.261800643779e-02,        -7.731970889335e-02,        +3.354982470076e-02,        -4.821086452053e-02,        +8.090519254499e-02,        +4.254969326365e-02
 1.00800000e+02,        +1.414213562373e-01,        +8.223002444147e-02,        +4.345557665149e-02,        +3.318709080417e-02,        -4.857436647666e-02,        -1.498517957781e-02,        -7.741813695510e-02,        +1.112177471534e-02,        -5.462543789796e-02,        +1.414213562373e-01,        +3.318709080417e-02,        -4.857436647666e-02,        +8.225904641098e-02,        +4.340266617437e-02,        +1.113811496769e-02,        -5.465097846271e-02,        -1.500801636037e-02,        -7.744140038181e-02,        +1.414213562373e-01,        -1.498517957781e-02,        -7.741813695510e-02,        +1.113811496769e-02,        -5.465097846271e-02,        +8.223199775984e-02,        +4.345934644430e-02,        +3.318593116808e-02,        -4.854433192074e-02,        +1.414213562373e-01,        +1.112177471534e-02,        -5.462543789796e-02,        -1.500801636037e-02,        -7.744140038181e-02,        +3.318593116808e-02,        -4.854433192074e-02,        +8.227490543746e-02,        +4.349857379126e-02
 1.02400000e+02,        +1.414213562373e-01,        +8.366754002729e-02,        +4.436320613305e-02,        +3.284219459091e-02,        -4.892784707173e-02,        -1.741491188257e-02,        -7.747709446042e-02,        +9.804523966113e-03,        -5.449324706649e-02,        +1.414213562373e-01,        +3.284219459091e-02,        -4.892784707173e-02,        +8.369822124515e-02,        +4.430912650432e-02,        +9.819899859245e-03,        -5.452003621893e-02,        -1.743989462542e-02,        -7.750041789793e-02,        +1.414213562373e-01,        -1.741491188257e-02,        -7.747709446042e-02,        +9.819899859245e-03,        -5.452003621893e-02,        +8.367068296676e-02,        +4.436800575383e-02,        +3.284204272773e-02,        -4.889676736338e-02,        +1.414213562373e-01,        +9.804523966113e-03,        -5.449324706649e-02,        -1.743989462542e-02,        -7.750041789793e-02,        +3.284204272773e-02,        -4.889676736338e-02,        +8.371602418122e-02,        +4.440663839405e-02
 1.04000000e+02,        +1.414213562373e-01,        +8.517640607074e-02,        +4.522519811083e-02,        +3.251616525947e-02,        -4.930319946038e-02,        -1.988645320242e-02,        -7.746959697556e-02,        +8.484775981483e-03,        -5.431726954488e-02,        +1.414213562373e-01,        +3.251616525947e-02,        -4.930319946038e-02,        +8.520886357624e-02,        +4.516986307683e-02,        +8.499093652097e-03,        -5.434529232377e-02,        -1.991369491417e-02,        -7.749286229184e-02,        +1.414213562373e-01,        -1.988645320242e-02,        -7.746959697556e-02,        +8.499093652096e-03,        -5.434529232377e-02,        +8.518083959667e-02,        +4.523104001291e-02,        +3.251709980893e-02,        -4.927109013600e-02,        +1.414213562373e-01,        +8.484775981483e-03,        -5.431726954488e-02,        -1.991369491417e-02,        -7.749286229184e-02,        +3.251709980893e-02,        -4.927109013600e-02,        +8.522868471298e-02,        +4.526891599394e-02
 1.05600000e+02,        +1.414213562373e-01,        +8.675647455396e-02,        +4.603635917545e-02,        +3.220767682980e-02,        -4.970342244473e-02,        -2.239960558552e-02,        -7.739148676499e-02,        +7.163739027838e-03,        -5.409547777501e-02,        +1.414213562373e-01,        +3.220767682980e-02,        -4.970342244473e-02,        +8.679082817011e-02,        +4.597966747229e-02,        +7.176901714645e-03,        -5.412471367671e-02,        -2.242921832257e-02,        -7.741456128948e-02,        +1.414213562373e-01,        -2.239960558553e-02,        -7.739148676499e-02,        +7.176901714645e-03,        -5.412471367671e-02,        +8.676232616756e-02,        +4.604324904688e-02,        +3.220977868175e-02,        -4.967030404979e-02,        +1.414213562373e-01,        +7.163739027838e-03,        -5.409547777501e-02,        -2.242921832257e-02,        -7.741456128948e-02,        +3.220977868175e-02,        -4.967030404979e-02,        +8.681274061641e-02,        +4.608019321926e-02
 1.07200000e+02,        +1.414213562373e-01,        +8.840727803587e-02,        +4.679125899101e-02,        +3.191511024435e-02,        -5.013158552243e-02,        -2.495387873767e-02,        -7.723833800302e-02,        +5.842883615392e-03,        -5.382573872817e-02,        +1.414213562373e-01,        +3.191511024435e-02,        -5.013158552243e-02,        +8.844364924194e-02,        +4.673309296619e-02,        +5.854791803598e-03,        -5.385616120827e-02,        -2.498597239858e-02,        -7.726107353203e-02,        +1.414213562373e-01,        -2.495387873767e-02,        -7.723833800302e-02,        +5.854791803598e-03,        -5.385616120827e-02,        +8.841468163079e-02,        +4.679919487091e-02,        +3.191846232913e-02,        -5.009748405616e-02,        +1.414213562373e-01,        +5.842883615392e-03,        -5.382573872818e-02,        -2.498597239858e-02,        -7.726107353203e-02,        +3.191846232913e-02,        -5.009748405616e-02,        +8.846772464024e-02,        +4.683501826235e-02
 1.08800000e+02,        +1.414213562373e-01,        +9.012798844648e-02,        +4.748423852212e-02,        +3.163652267455e-02,        -5.059081092511e-02,        -2.754844639787e-02,        -7.700546526786e-02,        +4.523975523895e-03,        -5.350583201250e-02,        +1.414213562373e-01,        +3.163652267455e-02,        -5.059081092511e-02,        +9.016649901835e-02,        +4.742446275541e-02,        +4.534527140985e-03,        -5.353740795727e-02,        -2.758312731914e-02,        -7.702769709787e-02,        +1.414213562373e-01,        -2.754844639787e-02,        -7.700546526786e-02,        +4.534527140985e-03,        -5.353740795727e-02,        +9.013708407322e-02,        +4.749320986743e-02,        +3.164120969721e-02,        -5.055575830157e-02,        +1.414213562373e-01,        +4.523975523895e-03,        -5.350583201250e-02,        -2.758312731914e-02,        -7.702769709788e-02,        +3.164120969721e-02,        -5.055575830157e-02,        +9.019280723343e-02,        +4.752770911405e-02
 1.10400000e+02,        +1.414213562373e-01,        +9.191737319628e-02,        +4.810942341802e-02,        +3.136961563050e-02,        -5.108425037537e-02,        -3.018210014270e-02,        -7.668793729141e-02,        +3.209109904808e-03,        -5.313347335213e-02,        +1.414213562373e-01,        +3.136961563050e-02,        -5.108425037537e-02,        +9.195814359210e-02,        +4.804788336814e-02,        +3.218200575608e-03,        -5.316616252258e-02,        -3.021946947925e-02,        -7.670948330541e-02,        +1.414213562373e-01,        -3.018210014270e-02,        -7.668793729141e-02,        +3.218200575608e-03,        -5.316616252258e-02,        +9.192830672059e-02,        +4.811941012684e-02,        +3.137572374192e-02,        -5.104828489607e-02,        +1.414213562373e-01,        +3.209109904808e-03,        -5.313347335213e-02,        -3.021946947925e-02,        -7.670948330541e-02,        +3.137572374192e-02,        -5.104828489607e-02,        +9.198675237130e-02,        +4.815236698525e-02
