        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 1.30000000e+02,        +1.414213562373e-01,        +1.182070563524e-01,        +4.786731554925e-02,        +2.752101904946e-02,        -6.093713297145e-02,        -6.439363357672e-02,        -6.382255937170e-02,        -1.114819450027e-02,        -4.354229912071e-02,        +1.414213562373e-01,        +2.752101904946e-02,        -6.093713297146e-02,        +1.181815242735e-01,        +4.780318278530e-02,        -1.114940124125e-02,        -4.358883519739e-02,        -6.439940746811e-02,        -6.382080240327e-02,        +1.414213562373e-01,        -6.439363357672e-02,        -6.382255937170e-02,        -1.114940124125e-02,        -4.358883519739e-02,        +1.181543491966e-01,        +4.779130894507e-02,        +2.752101460073e-02,        -6.094408148361e-02,        +1.414213562373e-01,        -1.114819450027e-02,        -4.354229912071e-02,        -6.439940746811e-02,        -6.382080240327e-02,        +2.752101460073e-02,        -6.094408148361e-02,        +1.181919379168e-01,        +4.784012681004e-02
 1.31000000e+02,        +1.414213562373e-01,        +1.196487230292e-01,        +4.734860828450e-02,        +2.718567185263e-02,        -6.165925231982e-02,        -6.612557418747e-02,        -6.262367111955e-02,        -1.168947260484e-02,        -4.278712785102e-02,        +1.414213562373e-01,        +2.718567185263e-02,        -6.165925231982e-02,        +1.196230056599e-01,        +4.728429847410e-02,        -1.169226197207e-02,        -4.283400762914e-02,        -6.613143975582e-02,        -6.262162859832e-02,        +1.414213562373e-01,        -6.612557418747e-02,        -6.262367111955e-02,        -1.169226197207e-02,        -4.283400762914e-02,        +1.195952669604e-01,        +4.727304778240e-02,        +2.718541555072e-02,        -6.166615843263e-02,        +1.414213562373e-01,        -1.168947260484e-02,        -4.278712785102e-02,        -6.613143975582e-02,        -6.262162859832e-02,        +2.718541555072e-02,        -6.166615843263e-02,        +1.196331400926e-01,        +4.732131779533e-02
 1.32000000e+02,        +1.414213562373e-01,        +1.210852372442e-01,        +4.677269312932e-02,        +2.682355473211e-02,        -6.240147938545e-02,        -6.784143610476e-02,        -6.136507013600e-02,        -1.219961446549e-02,        -4.200816728729e-02,        +1.414213562373e-01,        +2.682355473211e-02,        -6.240147938545e-02,        +1.210593450983e-01,        +4.670819577263e-02,        -1.220402622755e-02,        -4.205533399925e-02,        -6.784738198477e-02,        -6.136272882841e-02,        +1.414213562373e-01,        -6.784143610476e-02,        -6.136507013600e-02,        -1.220402622755e-02,        -4.205533399925e-02,        +1.210310603417e-01,        +4.669760423920e-02,        +2.682304713387e-02,        -6.240833070717e-02,        +1.414213562373e-01,        -1.219961446549e-02,        -4.200816728729e-02,        -6.784738198477e-02,        -6.136272882841e-02,        +2.682304713387e-02,        -6.240833070717e-02,        +1.210691826104e-01,        +4.674531007146e-02
 1.33000000e+02,        +1.414213562373e-01,        +1.225138819753e-01,        +4.613900683051e-02,        +2.643254903472e-02,        -6.316288669289e-02,        -6.953854245155e-02,        -6.004633585508e-02,        -1.267660130057e-02,        -4.120644876924e-02,        +1.414213562373e-01,        +2.643254903472e-02,        -6.316288669289e-02,        +1.224878243900e-01,        +4.607431025038e-02,        -1.268267346910e-02,        -4.125384245837e-02,        -6.954455611374e-02,        -6.004368275914e-02,        +1.414213562373e-01,        -6.953854245155e-02,        -6.004633585508e-02,        -1.268267346910e-02,        -4.125384245837e-02,        +1.224590135111e-01,        +4.606441382280e-02,        +2.643179143980e-02,        -6.316967071647e-02,        +1.414213562373e-01,        -1.267660130057e-02,        -4.120644876924e-02,        -6.954455611374e-02,        -6.004368275914e-02,        +2.643179143980e-02,        -6.316967071647e-02,        +1.224973484727e-01,        +4.611154079756e-02
 1.34000000e+02,        +1.414213562373e-01,        +1.239318567891e-01,        +4.544714085555e-02,        +2.601053418679e-02,        -6.394236544260e-02,        -7.121413302121e-02,        -5.866719964205e-02,        -1.311841330098e-02,        -4.038318097377e-02,        +1.414213562373e-01,        +2.601053418679e-02,        -6.394236544260e-02,        +1.239056417777e-01,        +4.538223228636e-02,        -1.312618188812e-02,        -4.043073850420e-02,        -7.122020074326e-02,        -5.866422207935e-02,        +1.414213562373e-01,        -7.121413302121e-02,        -5.866719964205e-02,        -1.312618188812e-02,        -4.043073850420e-02,        +1.238763271506e-01,        +4.537306668769e-02,        +2.600952866132e-02,        -6.394906959873e-02,        +1.414213562373e-01,        -1.311841330098e-02,        -4.038318097377e-02,        -7.122020074326e-02,        -5.866422207935e-02,        +2.600952866132e-02,        -6.394906959873e-02,        +1.239148372831e-01,        +4.541960187516e-02
 1.35000000e+02,        +1.414213562373e-01,        +1.253362883509e-01,        +4.469685144348e-02,        +2.555540310715e-02,        -6.473861855687e-02,        -7.286537471389e-02,        -5.722755493344e-02,        -1.352304497400e-02,        -3.953975691445e-02,        +1.414213562373e-01,        +2.555540310715e-02,        -6.473861855687e-02,        +1.253099224597e-01,        +4.463171713877e-02,        -1.353254374221e-02,        -3.958741199980e-02,        -7.287148155873e-02,        -5.722424064770e-02,        +1.414213562373e-01,        -7.286537471389e-02,        -5.722755493344e-02,        -1.353254374221e-02,        -3.958741199980e-02,        +1.252801289575e-01,        +4.462331769304e-02,        +2.555415250338e-02,        -6.474523027075e-02,        +1.414213562373e-01,        -1.352304497401e-02,        -3.953975691445e-02,        -7.287148155873e-02,        -5.722424064770e-02,        +2.555415250338e-02,        -6.474523027075e-02,        +1.253187757596e-01,        +4.466925000017e-02
 1.36000000e+02,        +1.414213562373e-01,        +1.267242422262e-01,        +4.388806884338e-02,        +2.506507896938e-02,        -6.555015500951e-02,        -7.448937326771e-02,        -5.572746656495e-02,        -1.388852183843e-02,        -3.867775965597e-02,        +1.414213562373e-01,        +2.506507896938e-02,        -6.555015500951e-02,        +1.266977303977e-01,        +4.382269420249e-02,        -1.389978204439e-02,        -3.872544290835e-02,        -7.449550306936e-02,        -5.572380382673e-02,        +1.414213562373e-01,        -7.448937326771e-02,        -5.572746656495e-02,        -1.389978204438e-02,        -3.872544290836e-02,        +1.266674854384e-01,        +4.381509564889e-02,        +2.506358694041e-02,        -6.555666176106e-02,        +1.414213562373e-01,        -1.388852183843e-02,        -3.867775965597e-02,        -7.449550306936e-02,        -5.572380382673e-02,        +2.506358694041e-02,        -6.555666176106e-02,        +1.267062295379e-01,        +4.386041590229e-02
 1.37000000e+02,        +1.414213562373e-01,        +1.280927359106e-01,        +4.302090555592e-02,        +2.453753321890e-02,        -6.637528565629e-02,        -7.608318622286e-02,        -5.416717910265e-02,        -1.421291837678e-02,        -3.779896652635e-02,        +1.414213562373e-01,        +2.453753321890e-02,        -6.637528565629e-02,        +1.280660813556e-01,        +4.295527526972e-02,        -1.422596851098e-02,        -3.784660552688e-02,        -7.608932158093e-02,        -5.416315681978e-02,        +1.414213562373e-01,        -7.608318622286e-02,        -5.416717910265e-02,        -1.422596851098e-02,        -3.784660552688e-02,        +1.280354149346e-01,        +4.294851156626e-02,        +2.453580422828e-02,        -6.638167504335e-02,        +1.414213562373e-01,        -1.421291837678e-02,        -3.779896652635e-02,        -7.608932158093e-02,        -5.416315681978e-02,        +2.453580422828e-02,        -6.638167504335e-02,        +1.280742162043e-01,        +4.299321258742e-02
 1.38000000e+02,        +1.414213562373e-01,        +1.294387529970e-01,        +4.209566339632e-02,        +2.397080471712e-02,        -6.721212078048e-02,        -7.764383702710e-02,        -5.254712399577e-02,        -1.449437711633e-02,        -3.690535161285e-02,        +1.414213562373e-01,        +2.397080471712e-02,        -6.721212078048e-02,        +1.294119570785e-01,        +4.202976161175e-02,        -1.450924264029e-02,        -3.695287100476e-02,        -7.764995931108e-02,        -5.254273182864e-02,        +1.414213562373e-01,        -7.764383702710e-02,        -5.254712399577e-02,        -1.450924264029e-02,        -3.695287100476e-02,        +1.293809017846e-01,        +4.202386572950e-02,        +2.396884404250e-02,        -6.721838058455e-02,        +1.414213562373e-01,        -1.449437711633e-02,        -3.690535161285e-02,        -7.764995931108e-02,        -5.254273182864e-02,        +2.396884404250e-02,        -6.721838058455e-02,        +1.294197194674e-01,        +4.206794240104e-02
 1.39000000e+02,        +1.414213562373e-01,        +1.307592583606e-01,        +4.111283920416e-02,        +2.336301984912e-02,        -6.805856955886e-02,        -7.916833016212e-02,        -5.086792537623e-02,        -1.473112867530e-02,        -3.599908633601e-02,        +1.414213562373e-01,        +2.336301984912e-02,        -6.805856955886e-02,        +1.307323204917e-01,        +4.104664970694e-02,        -1.474783175861e-02,        -3.604640794139e-02,        -7.917441952628e-02,        -5.086315385730e-02,        +1.414213562373e-01,        -7.916833016212e-02,        -5.086792537623e-02,        -1.474783175861e-02,        -3.604640794139e-02,        +1.307009115050e-01,        +4.104165341616e-02,        +2.336083357972e-02,        -6.806468781280e-02,        +1.414213562373e-01,        -1.473112867530e-02,        -3.599908633601e-02,        -7.917441952628e-02,        -5.086315385730e-02,        +2.336083357972e-02,        -6.806468781280e-02,        +1.307397043451e-01,        +4.108510273833e-02
