        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 1.30000000e+02,        +7.071067811865e+00,        +5.910352817621e+00,        +2.393365777463e+00,        +1.376050952473e+00,        -3.046856648573e+00,        -3.219681678836e+00,        -3.191127968585e+00,        -5.574097250134e-01,        -2.177114956035e+00,        +7.071067811865e+00,        +1.376050952473e+00,        -3.046856648573e+00,        +5.909076213676e+00,        +2.390159139265e+00,        -5.574700620624e-01,        -2.179441759869e+00,        -3.219970373406e+00,        -3.191040120164e+00,        +7.071067811865e+00,        -3.219681678836e+00,        -3.191127968585e+00,        -5.574700620624e-01,        -2.179441759869e+00,        +5.907717459830e+00,        +2.389565447254e+00,        +1.376050730037e+00,        -3.047204074181e+00,        +7.071067811865e+00,        -5.574097250134e-01,        -2.177114956035e+00,        -3.219970373406e+00,        -3.191040120163e+00,        +1.376050730037e+00,        -3.047204074181e+00,        +5.909596895838e+00,        +2.392006340502e+00
 1.31000000e+02,        +7.071067811865e+00,        +5.982436151459e+00,        +2.367430414225e+00,        +1.359283592632e+00,        -3.082962615991e+00,        -3.306278709373e+00,        -3.131183555977e+00,        -5.844736302418e-01,        -2.139356392551e+00,        +7.071067811865e+00,        +1.359283592632e+00,        -3.082962615991e+00,        +5.981150282993e+00,        +2.364214923705e+00,        -5.846130986035e-01,        -2.141700381457e+00,        -3.306571987791e+00,        -3.131081429916e+00,        +7.071067811865e+00,        -3.306278709373e+00,        -3.131183555977e+00,        -5.846130986035e-01,        -2.141700381457e+00,        +5.979763348020e+00,        +2.363652389120e+00,        +1.359270777536e+00,        -3.083307921632e+00,        +7.071067811865e+00,        -5.844736302418e-01,        -2.139356392551e+00,        -3.306571987791e+00,        -3.131081429916e+00,        +1.359270777536e+00,        -3.083307921632e+00,        +5.981657004631e+00,        +2.366065889767e+00
 1.32000000e+02,        +7.071067811865e+00,        +6.054261862209e+00,        +2.338634656466e+00,        +1.341177736605e+00,        -3.120073969272e+00,        -3.392071805238e+00,        -3.068253506800e+00,        -6.099807232744e-01,        -2.100408364364e+00,        +7.071067811865e+00,        +1.341177736605e+00,        -3.120073969272e+00,        +6.052967254914e+00,        +2.335409788632e+00,        -6.102013113774e-01,        -2.102766699962e+00,        -3.392369099239e+00,        -3.068136441420e+00,        +7.071067811865e+00,        -3.392071805238e+00,        -3.068253506800e+00,        -6.102013113774e-01,        -2.102766699962e+00,        +6.051553017086e+00,        +2.334880211960e+00,        +1.341152356694e+00,        -3.120416535358e+00,        +7.071067811865e+00,        -6.099807232744e-01,        -2.100408364364e+00,        -3.392369099239e+00,        -3.068136441420e+00,        +1.341152356694e+00,        -3.120416535358e+00,        +6.053459130521e+00,        +2.337265503573e+00
 1.33000000e+02,        +7.071067811865e+00,        +6.125694098766e+00,        +2.306950341525e+00,        +1.321627451736e+00,        -3.158144334645e+00,        -3.476927122577e+00,        -3.002316792754e+00,        -6.338300650283e-01,        -2.060322438462e+00,        +7.071067811865e+00,        +1.321627451736e+00,        -3.158144334645e+00,        +6.124391219501e+00,        +2.303715512519e+00,        -6.341336734550e-01,        -2.062692122919e+00,        -3.477227805687e+00,        -3.002184137957e+00,        +7.071067811865e+00,        -3.476927122577e+00,        -3.002316792754e+00,        -6.341336734550e-01,        -2.062692122919e+00,        +6.122950675554e+00,        +2.303220691140e+00,        +1.321589571990e+00,        -3.158483535824e+00,        +7.071067811865e+00,        -6.338300650283e-01,        -2.060322438462e+00,        -3.477227805687e+00,        -3.002184137957e+00,        +1.321589571990e+00,        -3.158483535824e+00,        +6.124867423633e+00,        +2.305577039878e+00
 1.34000000e+02,        +7.071067811865e+00,        +6.196592839455e+00,        +2.272357042777e+00,        +1.300526709339e+00,        -3.197118272130e+00,        -3.560706651061e+00,        -2.933359982102e+00,        -6.559206650491e-01,        -2.019159048689e+00,        +7.071067811865e+00,        +1.300526709339e+00,        -3.197118272130e+00,        +6.195282088887e+00,        +2.269111614318e+00,        -6.563090944058e-01,        -2.021536925210e+00,        -3.561010037163e+00,        -2.933211103968e+00,        +7.071067811865e+00,        -3.560706651060e+00,        -2.933359982102e+00,        -6.563090944058e-01,        -2.021536925210e+00,        +6.193816357532e+00,        +2.268653334384e+00,        +1.300476433066e+00,        -3.197453479936e+00,        +7.071067811865e+00,        -6.559206650491e-01,        -2.019159048689e+00,        -3.561010037163e+00,        -2.933211103968e+00,        +1.300476433066e+00,        -3.197453479936e+00,        +6.195741864157e+00,        +2.270980093758e+00
 1.35000000e+02,        +7.071067811865e+00,        +6.266814417546e+00,        +2.234842572174e+00,        +1.277770155358e+00,        -3.236930927844e+00,        -3.643268735694e+00,        -2.861377746672e+00,        -6.761522487002e-01,        -1.976987845723e+00,        +7.071067811865e+00,        +1.277770155358e+00,        -3.236930927844e+00,        +6.265496122987e+00,        +2.231585856939e+00,        -6.766271871105e-01,        -1.979370599990e+00,        -3.643574077937e+00,        -2.861212032385e+00,        +7.071067811865e+00,        -3.643268735694e+00,        -2.861377746672e+00,        -6.766271871104e-01,        -1.979370599990e+00,        +6.264006447873e+00,        +2.231165884652e+00,        +1.277707625169e+00,        -3.237261513538e+00,        +7.071067811865e+00,        -6.761522487003e-01,        -1.976987845723e+00,        -3.643574077937e+00,        -2.861212032385e+00,        +1.277707625169e+00,        -3.237261513538e+00,        +6.265938787982e+00,        +2.233462500008e+00
 1.36000000e+02,        +7.071067811865e+00,        +6.336212111312e+00,        +2.194403442169e+00,        +1.253253948469e+00,        -3.277507750475e+00,        -3.724468663386e+00,        -2.786373328247e+00,        -6.944260919213e-01,        -1.933887982799e+00,        +7.071067811865e+00,        +1.253253948469e+00,        -3.277507750475e+00,        +6.334886519886e+00,        +2.191134710125e+00,        -6.949891022193e-01,        -1.936272145418e+00,        -3.724775153468e+00,        -2.786190191336e+00,        +7.071067811865e+00,        -3.724468663386e+00,        -2.786373328247e+00,        -6.949891022192e-01,        -1.936272145418e+00,        +6.333374271921e+00,        +2.190754782445e+00,        +1.253179347021e+00,        -3.277833088053e+00,        +7.071067811865e+00,        -6.944260919213e-01,        -1.933887982799e+00,        -3.724775153468e+00,        -2.786190191336e+00,        +1.253179347021e+00,        -3.277833088053e+00,        +6.335311476893e+00,        +2.193020795115e+00
 1.37000000e+02,        +7.071067811865e+00,        +6.404636795528e+00,        +2.151045277796e+00,        +1.226876660945e+00,        -3.318764282815e+00,        -3.804159311143e+00,        -2.708358955133e+00,        -7.106459188392e-01,        -1.889948326318e+00,        +7.071067811865e+00,        +1.226876660945e+00,        -3.318764282815e+00,        +6.403304067778e+00,        +2.147763763486e+00,        -7.112984255491e-01,        -1.892330276344e+00,        -3.804466079046e+00,        -2.708157840989e+00,        +7.071067811865e+00,        -3.804159311143e+00,        -2.708358955133e+00,        -7.112984255491e-01,        -1.892330276344e+00,        +6.401770746731e+00,        +2.147425578313e+00,        +1.226790211414e+00,        -3.319083752167e+00,        +7.071067811865e+00,        -7.106459188392e-01,        -1.889948326318e+00,        -3.804466079046e+00,        -2.708157840989e+00,        +1.226790211414e+00,        -3.319083752167e+00,        +6.403710810216e+00,        +2.149660629371e+00
 1.38000000e+02,        +7.071067811865e+00,        +6.471937649850e+00,        +2.104783169816e+00,        +1.198540235856e+00,        -3.360606039024e+00,        -3.882191851355e+00,        -2.627356199789e+00,        -7.247188558165e-01,        -1.845267580643e+00,        +7.071067811865e+00,        +1.198540235856e+00,        -3.360606039024e+00,        +6.470597853926e+00,        +2.101488080588e+00,        -7.254621320146e-01,        -1.847643550238e+00,        -3.882497965554e+00,        -2.627136591432e+00,        +7.071067811865e+00,        -3.882191851355e+00,        -2.627356199789e+00,        -7.254621320146e-01,        -1.847643550238e+00,        +6.469045089229e+00,        +2.101193286475e+00,        +1.198442202125e+00,        -3.360919029228e+00,        +7.071067811865e+00,        -7.247188558165e-01,        -1.845267580643e+00,        -3.882497965554e+00,        -2.627136591432e+00,        +1.198442202125e+00,        -3.360919029228e+00,        +6.470985973368e+00,        +2.103397120052e+00
 1.39000000e+02,        +7.071067811865e+00,        +6.537962918031e+00,        +2.055641960208e+00,        +1.168150992456e+00,        -3.402928477943e+00,        -3.958416508106e+00,        -2.543396268812e+00,        -7.365564337651e-01,        -1.799954316801e+00,        +7.071067811865e+00,        +1.168150992456e+00,        -3.402928477943e+00,        +6.536616024587e+00,        +2.052332485347e+00,        -7.373915879303e-01,        -1.802320397069e+00,        -3.958720976314e+00,        -2.543157692865e+00,        +7.071067811865e+00,        -3.958416508106e+00,        -2.543396268812e+00,        -7.373915879303e-01,        -1.802320397069e+00,        +6.535045575251e+00,        +2.052082670808e+00,        +1.168041678986e+00,        -3.403234390640e+00,        +7.071067811865e+00,        -7.365564337651e-01,        -1.799954316801e+00,        -3.958720976314e+00,        -2.543157692865e+00,        +1.168041678986e+00,        -3.403234390640e+00,        +6.536985217256e+00,        +2.054255136917e+00
