        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.34000000e+02,        +1.258168866617e-12,        +1.580648767007e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.258542509053e-12,        +1.580463525267e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.258264277502e-12,        +1.580120776382e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.258220012119e-12,        +1.580447928174e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.35000000e+02,        +1.275705187906e-12,        +1.588951928923e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.276082426623e-12,        +1.588772021859e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.275796425240e-12,        +1.588428678510e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.275754960320e-12,        +1.588750429092e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +1.293303156779e-12,        +1.596977084214e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.293683695373e-12,        +1.596802101412e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.293390001458e-12,        +1.596458400604e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.293351399537e-12,        +1.596774854835e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.37000000e+02,        +1.310933182684e-12,        +1.604703919051e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.311316690812e-12,        +1.604533415040e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.311015407943e-12,        +1.604189609362e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.310979728795e-12,        +1.604500884314e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.38000000e+02,        +1.328564618371e-12,        +1.612112341015e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.328950730652e-12,        +1.611945835471e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.328641989861e-12,        +1.611602192993e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.328609290232e-12,        +1.611908417766e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.39000000e+02,        +1.346165888689e-12,        +1.619182603095e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.346554203798e-12,        +1.619019581304e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.346238164621e-12,        +1.618676385344e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.346208497965e-12,        +1.618977700812e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40000000e+02,        +1.363704634128e-12,        +1.625895430226e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.364094714101e-12,        +1.625735343846e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.363771565487e-12,        +1.625392892596e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.363744981714e-12,        +1.625689451071e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+02,        +1.381147867879e-12,        +1.632232146706e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.381539237658e-12,        +1.632074414812e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.381209198717e-12,        +1.631733020822e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.381185743945e-12,        +1.632024985645e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42000000e+02,        +1.398462144845e-12,        +1.638174802638e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.398854292099e-12,        +1.638018813079e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.398517612659e-12,        +1.637678802586e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.398497328981e-12,        +1.637966347646e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.43000000e+02,        +1.415613740691e-12,        +1.643706297486e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.416006115918e-12,        +1.643551408556e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.415663076882e-12,        +1.643213120658e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.415646002154e-12,        +1.643496429834e-12,        +0.000000000000e+00,        +0.000000000000e+00
