        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.49000000e+02,        +6.515854117507e-12,        +6.784753170278e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.530764009851e-12,        +6.799964324557e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+02,        +6.265153080172e-12,        +6.552843430331e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.280773173097e-12,        +6.568804041240e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+02,        +6.115705779515e-12,        +6.421764438811e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.132496263859e-12,        +6.438832955694e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +6.146311186451e-12,        +6.457643100615e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.164646667677e-12,        +6.476076700002e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.53000000e+02,        +6.363552967500e-12,        +6.661179903727e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.383678863396e-12,        +6.681116183393e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.54000000e+02,        +6.735629453704e-12,        +6.999205593461e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.757628196709e-12,        +7.020646181608e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+02,        +7.197635112978e-12,        +7.409801090970e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.221372865345e-12,        +7.432581346165e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +7.646455459401e-12,        +7.798693743780e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.671541591340e-12,        +7.822470203425e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.57000000e+02,        +7.955360702679e-12,        +8.053932100289e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.981203444038e-12,        +8.078250238139e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.58000000e+02,        +8.027366974069e-12,        +8.094248284162e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.053385749096e-12,        +8.118720901413e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.59000000e+02,        +7.856026606736e-12,        +7.921129740204e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.881932793337e-12,        +7.945638997324e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +7.528568470895e-12,        +7.617611918200e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.554512411945e-12,        +7.642384646145e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+02,        +7.166453557770e-12,        +7.293112441112e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.192958262858e-12,        +7.318635543361e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.62000000e+02,        +6.867096241973e-12,        +7.032396129618e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.894890506663e-12,        +7.059276155114e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.63000000e+02,        +6.685561617669e-12,        +6.881249747129e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.715440835233e-12,        +6.910110082456e-12,        +0.000000000000e+00,        +0.000000000000e+00
