        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.75000000e+02,        +1.414213562373e-01,        +1.310422809761e-01,        +7.812971904438e-02,        +1.703155388434e-02,        +1.669580210931e-02,        +1.414213562373e-01,        +1.703155388434e-02,        +1.669580210933e-02,        +1.316869126935e-01,        +7.769015619539e-02
 1.76000000e+02,        +1.414213562373e-01,        +1.395635630630e-01,        +8.032622796577e-02,        +1.799788862834e-02,        +1.150606734591e-02,        +1.414213562373e-01,        +1.799788862830e-02,        +1.150606734590e-02,        +1.402814933311e-01,        +7.983818985669e-02
 1.77000000e+02,        +1.414213562373e-01,        +1.490774546142e-01,        +8.055264888396e-02,        +1.787715187762e-02,        +7.019247805061e-03,        +1.414213562373e-01,        +1.787715187763e-02,        +7.019247805057e-03,        +1.498628182736e-01,        +7.998075721069e-02
 1.78000000e+02,        +1.414213562373e-01,        +1.590547811684e-01,        +7.874360194962e-02,        +1.704307670902e-02,        +3.250038402854e-03,        +1.414213562373e-01,        +1.704307670900e-02,        +3.250038402863e-03,        +1.598906956553e-01,        +7.805602864713e-02
 1.79000000e+02,        +1.414213562373e-01,        +1.690574706770e-01,        +7.491908208164e-02,        +1.574832896921e-02,        +1.439331150771e-04,        +1.414213562373e-01,        +1.574832896922e-02,        +1.439331150709e-04,        +1.699179519966e-01,        +7.408957099161e-02
 1.80000000e+02,        +1.414213562373e-01,        +1.787053535274e-01,        +6.914219167764e-02,        +1.415878798240e-02,        -2.368865520751e-03,        +1.414213562373e-01,        +1.415878798239e-02,        -2.368865520747e-03,        +1.795569368671e-01,        +6.815174189738e-02
 1.81000000e+02,        +1.414213562373e-01,        +1.876486711327e-01,        +6.150914544152e-02,        +1.238577376413e-02,        -4.351217807904e-03,        +1.414213562373e-01,        +1.238577376412e-02,        -4.351217807905e-03,        +1.884521082428e-01,        +6.034768497270e-02
 1.82000000e+02,        +1.414213562373e-01,        +1.955534006679e-01,        +5.215532474524e-02,        +1.050991326023e-02,        -5.853339992816e-03,        +1.414213562373e-01,        +1.050991326024e-02,        -5.853339992820e-03,        +1.962657970823e-01,        +5.082333433175e-02
 1.83000000e+02,        +1.414213562373e-01,        +2.020997058771e-01,        +4.126694302573e-02,        +8.596755509780e-03,        -6.914888204653e-03,        +1.414213562373e-01,        +8.596755509798e-03,        -6.914888204637e-03,        +2.026773200059e-01,        +3.977674947336e-02
 1.84000000e+02,        +1.414213562373e-01,        +2.069916323177e-01,        +2.909156240654e-02,        +6.705652541742e-03,        -7.570238625808e-03,        +1.414213562373e-01,        +6.705652541734e-03,        -7.570238625812e-03,        +2.073933425727e-01,        +2.746789068262e-02
 1.85000000e+02,        +1.414213562373e-01,        +2.099751221286e-01,        +1.594271956043e-02,        +4.893362099972e-03,        -7.854428704879e-03,        +1.414213562373e-01,        +4.893362099981e-03,        -7.854428704879e-03,        +2.101663092913e-01,        +1.422208560330e-02
 1.86000000e+02,        +1.414213562373e-01,        +2.108604143323e-01,        +2.195408291620e-03,        +3.213646511352e-03,        -7.808129721116e-03,        +1.414213562373e-01,        +3.213646511343e-03,        -7.808129721117e-03,        +2.108167568048e-01,        +4.240715590389e-04
 1.87000000e+02,        +1.414213562373e-01,        +2.095439634135e-01,        -1.172907074332e-02,        +1.714181683481e-03,        -7.480505993386e-03,        +1.414213562373e-01,        +1.714181683514e-03,        -7.480505993387e-03,        +2.092544829837e-01,        -1.349859904049e-02
 1.88000000e+02,        +1.414213562373e-01,        +2.060246659550e-01,        -2.538810475167e-02,        +4.322678232373e-04,        -6.929314299801e-03,        +1.414213562373e-01,        +4.322678232421e-04,        -6.929314299792e-03,        +2.054933729248e-01,        -2.710164457374e-02
 1.89000000e+02,        +1.414213562373e-01,        +2.004099520765e-01,        -3.834935769857e-02,        -6.090906242190e-04,        -6.218254581221e-03,        +1.414213562373e-01,        -6.090906242398e-04,        -6.218254581212e-03,        +1.996556582213e-01,        -3.995605690528e-02
 1.90000000e+02,        +1.414213562373e-01,        +1.929093191513e-01,        -5.022378427603e-02,        -1.403405606313e-03,        -5.412296757169e-03,        +1.414213562373e-01,        -1.403405606301e-03,        -5.412296757178e-03,        +1.919635706026e-01,        -5.168068738249e-02
 1.91000000e+02,        +1.414213562373e-01,        +1.838157291946e-01,        -6.069426711081e-02,        -1.960489455880e-03,        -4.572233614014e-03,        +1.414213562373e-01,        -1.960489455890e-03,        -4.572233613999e-03,        +1.827192360694e-01,        -6.196968686515e-02
 1.92000000e+02,        +1.414213562373e-01,        +1.734780732580e-01,        -6.953505398306e-02,        -2.303845410120e-03,        -3.749830245944e-03,        +1.414213562373e-01,        -2.303845410113e-03,        -3.749830245965e-03,        +1.722763292836e-01,        -7.061026766909e-02
 1.93000000e+02,        +1.414213562373e-01,        +1.622696975682e-01,        -7.661943954368e-02,        -2.466388837695e-03,        -2.984617188405e-03,        +1.414213562373e-01,        -2.466388837698e-03,        -2.984617188420e-03,        +1.610085877655e-01,        -7.748863287373e-02
 1.94000000e+02,        +1.414213562373e-01,        +1.505582737256e-01,        -8.191586261451e-02,        -2.485568119934e-03,        -2.302772421083e-03,        +1.414213562373e-01,        -2.485568119941e-03,        -2.302772421102e-03,        +1.492803509028e-01,        -8.258461183617e-02
 1.95000000e+02,        +1.414213562373e-01,        +1.386811943142e-01,        -8.547485630439e-02,        -2.398900083355e-03,        -1.717922299033e-03,        +1.414213562373e-01,        -2.398900083379e-03,        -1.717922299014e-03,        +1.374230408273e-01,        -8.595766540601e-02
 1.96000000e+02,        +1.414213562373e-01,        +1.269287876975e-01,        -8.741050357433e-02,        -2.240596545263e-03,        -1.233279542304e-03,        +1.414213562373e-01,        -2.240596545248e-03,        -1.233279542329e-03,        +1.257195791891e-01,        -8.772796424561e-02
 1.97000000e+02,        +1.414213562373e-01,        +1.155357040118e-01,        -8.788012914396e-02,        -2.039530916479e-03,        -8.444054100595e-04,        +1.414213562373e-01,        -2.039530916492e-03,        -8.444054100802e-04,        +1.143968497857e-01,        -8.805618121850e-02
 1.98000000e+02,        +1.414213562373e-01,        +1.046793668373e-01,        -8.706521135572e-02,        -1.818441556184e-03,        -5.419805762077e-04,        +1.414213562373e-01,        -1.818441556190e-03,        -5.419805762103e-04,        +1.036249620784e-01,        -8.712481940756e-02
 1.99000000e+02,        +1.414213562373e-01,        +9.448362053238e-02,        -8.515538757853e-02,        -1.594068499944e-03,        -3.141813018310e-04,        +1.414213562373e-01,        -1.594068499918e-03,        -3.141813018548e-04,        +9.352140663556e-02,        -8.512278069153e-02
 2.00000000e+02,        +1.414213562373e-01,        +8.502556137354e-02,        -8.233634999321e-02,        -1.377866930148e-03,        -1.484788476937e-04,        +1.414213562373e-01,        -1.377866930154e-03,        -1.484788476929e-04,        +8.415812260548e-02,        -8.223383802682e-02
