        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.16800000e+02,        +7.071067811865e+00,        +7.378812691996e-01,        -2.305748059146e+00,        +3.669407660955e-03,        -2.218428567600e-02,        +7.071067811865e+00,        +3.669407660386e-03,        -2.218428567582e-02,        +7.344721988301e-01,        -2.295172811389e+00
 1.18400000e+02,        +7.071067811865e+00,        +6.848217089173e-01,        -2.109073050947e+00,        +2.850775402356e-03,        -2.416259816024e-02,        +7.071067811865e+00,        +2.850775402350e-03,        -2.416259815989e-02,        +6.816915570826e-01,        -2.098120234942e+00
 1.20000000e+02,        +7.071067811865e+00,        +6.379432570565e-01,        -1.907191802192e+00,        +1.829780319406e-03,        -2.652518468665e-02,        +7.071067811865e+00,        +1.829780319330e-03,        -2.652518468618e-02,        +6.351172094357e-01,        -1.895842232411e+00
 1.21600000e+02,        +7.071067811865e+00,        +5.976912159146e-01,        -1.699653220152e+00,        +5.290852904701e-04,        -2.936276841037e-02,        +7.071067811865e+00,        +5.290852910361e-04,        -2.936276841016e-02,        +5.951985927579e-01,        -1.687886340777e+00
 1.23200000e+02,        +7.071067811865e+00,        +5.646260867721e-01,        -1.485933894011e+00,        -1.160495406242e-03,        -3.279017036262e-02,        +7.071067811865e+00,        -1.160495405928e-03,        -3.279017036255e-02,        +5.625011366085e-01,        -1.473727863393e+00
 1.24800000e+02,        +7.071067811865e+00,        +5.394576705236e-01,        -1.265425399087e+00,        -3.395009376874e-03,        -3.695332323038e-02,        +7.071067811865e+00,        -3.395009377171e-03,        -3.695332323025e-02,        +5.377405461629e-01,        -1.252757268190e+00
 1.26400000e+02,        +7.071067811865e+00,        +5.230930262245e-01,        -1.037419136971e+00,        -6.400584341429e-03,        -4.203813954947e-02,        +7.071067811865e+00,        -6.400584342058e-03,        -4.203813954932e-02,        +5.218309927812e-01,        -1.024265176711e+00
 1.28000000e+02,        +7.071067811865e+00,        +5.167055061935e-01,        -8.010889014606e-01,        -1.051003359322e-02,        -4.828122831901e-02,        +7.071067811865e+00,        -1.051003359363e-02,        -4.828122831944e-02,        +5.159544445924e-01,        -7.874251669145e-01
 1.29600000e+02,        +7.071067811865e+00,        +5.218366980372e-01,        -5.554725262791e-01,        -1.622178077252e-02,        -5.598154436070e-02,        +7.071067811865e+00,        -1.622178077211e-02,        -5.598154436083e-02,        +5.216629831235e-01,        -5.412758012393e-01
 1.31200000e+02,        +7.071067811865e+00,        +5.405511879344e-01,        -2.994570044326e-01,        -2.429684006403e-02,        -6.550950358160e-02,        +7.071067811865e+00,        -2.429684006382e-02,        -6.550950358147e-02,        +5.410340331383e-01,        -2.847063657505e-01
